cornerNo,proc,VDD,TEMP,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M
1,tt,1.62,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.103329e+09,0.006104931,1.448407,0.7242036,-97.07928,-120.8605,-183.3795,-187.1608
2,tt,1.62,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.111992e+09,0.006026701,1.311047,0.6555234,-95.53513,-119.4482,-181.9061,-185.8192
3,tt,1.62,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.117714e+09,0.005976161,1.213712,0.6068561,-94.53408,-118.4737,-180.9514,-184.891
4,tt,1.62,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.125551e+09,0.005891645,1.054784,0.5273922,-93.34457,-117.0517,-179.837,-183.5442
5,tt,1.62,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.127409e+09,0.005860585,0.9987104,0.4993552,-93.06449,-116.5908,-179.583,-183.1094
6,tt,1.8,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.06582e+09,0.01007283,1.636124,0.818062,-97.66034,-121.6298,-181.7218,-185.6913
7,tt,1.8,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.074863e+09,0.009604967,1.494271,0.7471355,-96.45492,-120.3715,-180.7384,-184.6551
8,tt,1.8,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.080616e+09,0.009336126,1.394506,0.6972531,-95.65112,-119.5082,-180.0678,-183.9249
9,tt,1.8,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.089218e+09,0.008959786,1.232355,0.6161775,-94.51014,-118.1423,-179.1202,-182.7524
10,tt,1.8,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.091873e+09,0.00883953,1.175349,0.5876745,-94.15668,-117.6694,-178.8299,-182.3427
11,tt,1.98,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.035431e+09,0.01442825,1.805051,0.9025253,-96.35227,-120.7328,-178.8009,-183.1814
12,tt,1.98,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.045844e+09,0.01358231,1.656584,0.828292,-96.56339,-120.8228,-179.2923,-183.5518
13,tt,1.98,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.052245e+09,0.01309028,1.552782,0.7763909,-95.88937,-120.0275,-178.7896,-182.9277
14,tt,1.98,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.061434e+09,0.01240345,1.385202,0.6926012,-94.96876,-118.7744,-178.1188,-181.9244
15,tt,1.98,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.064573e+09,0.01218618,1.3265,0.6632501,-94.73445,-118.3874,-177.9666,-181.6196
16,ss,1.62,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.161775e+09,0.004175332,1.356737,0.6783685,-95.50936,-119.8517,-183.5584,-187.9008
17,ss,1.62,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.175357e+09,0.004244011,1.200123,0.6000614,-93.95784,-118.3335,-181.9589,-186.3345
18,ss,1.62,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.182884e+09,0.004277135,1.089337,0.5446686,-93.28322,-117.5063,-181.2631,-185.4862
19,ss,1.62,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.188114e+09,0.00430799,0.9065711,0.4532856,-93.57588,-116.7015,-181.5333,-184.659
20,ss,1.62,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.186617e+09,0.004312814,0.8407501,0.420375,-94.11671,-116.462,-182.0668,-184.4121
21,ss,1.8,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.123888e+09,0.007291355,1.5287,0.76435,-94.85141,-119.8911,-180.4153,-185.455
22,ss,1.8,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.136494e+09,0.007086973,1.374476,0.6872379,-94.14725,-118.8479,-179.856,-184.5566
23,ss,1.8,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.14389e+09,0.006964269,1.267158,0.6335792,-93.86414,-118.2325,-179.6612,-184.0296
