metric_key,metric_label,extreme_type,value,process,TEMP,VDD
Fosc_GHz,Fosc (GHz),MIN,4.988819,ff,-40,1.98
Fosc_GHz,Fosc (GHz),MAX,5.188114,ss,70,1.62
PD_mW,PD (mW),MIN,4.175332,ss,-40,1.62
PD_mW,PD (mW),MAX,19.19712,ff,-40,1.98
V1pk_V,V1pk (V),MIN,0.8407501,ss,85,1.62
V1pk_V,V1pk (V),MAX,1.889377,ff,-40,1.98
V1rms_V,V1rms (V),MIN,0.420375,ss,85,1.62
V1rms_V,V1rms (V),MAX,0.9446884,ff,-40,1.98
PN_100k_dBc,PN @100k (dBc/Hz),MIN,-99.84995,ff,27,1.8
PN_100k_dBc,PN @100k (dBc/Hz),MAX,-90.32901,ss,-40,1.98
PN_1M_dBc,PN @1M (dBc/Hz),MIN,-123.3652,ff,27,1.8
PN_1M_dBc,PN @1M (dBc/Hz),MAX,-115.9929,sf,85,1.62
FOM_100k,FOM @100k,MIN,-183.7657,fs,-40,1.62
FOM_100k,FOM @100k,MAX,-174.0731,sf,-40,1.98
FOM_1M,FOM @1M,MIN,-187.9008,ss,-40,1.62
FOM_1M,FOM @1M,MAX,-180.4753,sf,85,1.98
