time_s,X_V,Y_V,Vdiff_V
0.000000000000e+00,1.071431000000e+00,1.055413000000e+00,1.601752000000e-02
1.569999999998e-12,1.107345000000e+00,1.019029000000e+00,8.831609000000e-02
3.450000000001e-12,1.150786000000e+00,9.755436000000e-01,1.752422000000e-01
4.979999999999e-12,1.186509000000e+00,9.404620000000e-01,2.460475000000e-01
6.400000000002e-12,1.220302000000e+00,9.081304000000e-01,3.121712000000e-01
7.790000000002e-12,1.253610000000e+00,8.774897000000e-01,3.761201000000e-01
8.950000000001e-12,1.282318000000e+00,8.525350000000e-01,4.297829000000e-01
9.880000000000e-12,1.306126000000e+00,8.332075000000e-01,4.729180000000e-01
1.067000000000e-11,1.326967000000e+00,8.174281000000e-01,5.095385000000e-01
1.140000000000e-11,1.346826000000e+00,8.033159000000e-01,5.435097000000e-01
1.222000000000e-11,1.369323000000e+00,7.881698000000e-01,5.811534000000e-01
1.305000000000e-11,1.392016000000e+00,7.734432000000e-01,6.185729000000e-01
1.367000000000e-11,1.408741000000e+00,7.627335000000e-01,6.460077000000e-01
1.421000000000e-11,1.422929000000e+00,7.536308000000e-01,6.692980000000e-01
1.472000000000e-11,1.436401000000e+00,7.448931000000e-01,6.915083000000e-01
1.525000000000e-11,1.450218000000e+00,7.357602000000e-01,7.144581000000e-01
1.590000000000e-11,1.466527000000e+00,7.246434000000e-01,7.418838000000e-01
1.662000000000e-11,1.484272000000e+00,7.119624000000e-01,7.723099000000e-01
1.735000000000e-11,1.501274000000e+00,6.990349000000e-01,8.022395000000e-01
1.819000000000e-11,1.519605000000e+00,6.839770000000e-01,8.356284000000e-01
1.915000000000e-11,1.538792000000e+00,6.666559000000e-01,8.721362000000e-01
1.994000000000e-11,1.553312000000e+00,6.523088000000e-01,9.010029000000e-01
2.090000000000e-11,1.569603000000e+00,6.348284000000e-01,9.347749000000e-01
2.185000000000e-11,1.584296000000e+00,6.177863000000e-01,9.665096000000e-01
2.251000000000e-11,1.594026000000e+00,6.058449000000e-01,9.881815000000e-01
