time_s,X_V,Y_V,Vdiff_V
0.0,1.045691,1.045691,0.0
9.622249e-15,1.045691,1.045691,-2.202421e-07
1.085042e-14,1.045691,1.045691,-2.515936e-07
1.330675e-14,1.045691,1.045691,-3.215809e-07
1.587172e-14,1.045691,1.045691,-4.063251e-07
1.836734e-14,1.045691,1.045691,-5.004263e-07
2.128676e-14,1.045691,1.045691,-6.250828e-07
2.43991e-14,1.045691,1.045691,-7.752116e-07
2.763216e-14,1.045691,1.045691,-9.499181e-07
3.099322e-14,1.04569,1.045692,-1.151732e-06
3.44781e-14,1.04569,1.045692,-1.382655e-06
3.810602e-14,1.04569,1.045692,-1.646458e-06
4.190196e-14,1.04569,1.045692,-1.947997e-06
4.588995e-14,1.04569,1.045692,-2.292881e-06
5.009552e-14,1.04569,1.045692,-2.687742e-06
5.454527e-14,1.045689,1.045693,-3.140342e-06
5.926725e-14,1.045689,1.045693,-3.659766e-06
6.423881e-14,1.045689,1.045693,-4.250183e-06
6.946967e-14,1.045689,1.045693,-4.9196e-06
7.498271e-14,1.045688,1.045694,-5.678617e-06
8.080032e-14,1.045688,1.045694,-6.539081e-06
8.694719e-14,1.045687,1.045695,-7.514631e-06
9.344852e-14,1.045687,1.045695,-8.620641e-06
1.003297e-13,1.045686,1.045696,-9.874339e-06
1.076168e-13,1.045685,1.045697,-1.129511e-05
1.153372e-13,1.045685,1.045697,-1.29048e-05
1.235195e-13,1.045684,1.045698,-1.472804e-05
1.321944e-13,1.045683,1.045699,-1.679271e-05
1.413948e-13,1.045681,1.045701,-1.913043e-05
1.511562e-13,1.04568,1.045702,-2.177716e-05
1.615178e-13,1.045679,1.045703,-2.477396e-05
1.72523e-13,1.045677,1.045705,-2.816796e-05
1.842202e-13,1.045675,1.045707,-3.201347e-05
1.966641e-13,1.045673,1.045709,-3.637346e-05
2.099168e-13,1.04567,1.045712,-4.132131e-05
2.240493e-13,1.045668,1.045714,-4.694313e-05
2.391433e-13,1.045664,1.045718,-5.334044e-05
2.55293e-13,1.045661,1.045721,-6.063374e-05
2.726071e-13,1.045657,1.045726,-6.896663e-05
2.912107e-13,1.045652,1.04573,-7.851099e-05
3.112476e-13,1.045646,1.045736,-8.947284e-05
3.328803e-13,1.04564,1.045742,-0.000102099
3.562899e-13,1.045633,1.045749,-0.0001166836
3.816723e-13,1.045624,1.045758,-0.0001335736
4.092299e-13,1.045614,1.045768,-0.0001531712
4.391599e-13,1.045603,1.045779,-0.0001759312
4.712605e-13,1.04559,1.045792,-0.0002020348
5.055779e-13,1.045575,1.045807,-0.0002318599
5.424931e-13,1.045558,1.045824,-0.000266131
5.824728e-13,1.045538,1.045844,-0.0003057711
6.260629e-13,1.045515,1.045867,-0.0003519349
6.730628e-13,1.045489,1.045894,-0.0004050871
7.237312e-13,1.045458,1.045924,-0.0004662287
7.785354e-13,1.045423,1.04596,-0.000536733
8.376901e-13,1.045382,1.046,-0.0006177808
9.016793e-13,1.045336,1.046047,-0.0007110304
9.508396e-13,1.045298,1.046085,-0.000786479
1e-12,1.045259,1.046124,-0.0008651117
1.017115e-12,1.045245,1.046138,-0.0008927754
1.048246e-12,1.04522,1.046163,-0.0009427259
1.082634e-12,1.045193,1.04619,-0.0009972663
1.129119e-12,1.045157,1.046226,-0.001069821
1.216394e-12,1.04509,1.046292,-0.001202023
1.319935e-12,1.045016,1.046367,-0.001351361
1.422833e-12,1.044946,1.046437,-0.001490924
1.529303e-12,1.044879,1.046504,-0.001625228
1.640087e-12,1.044815,1.046568,-0.001753267
1.753744e-12,1.044755,1.046627,-0.001871508
1.870821e-12,1.044701,1.04668,-0.001978827
1.992474e-12,1.044653,1.046728,-0.002074342
2.118103e-12,1.044612,1.046768,-0.002155666
2.248194e-12,1.044579,1.046801,-0.002221421
2.383367e-12,1.044554,1.046824,-0.002270303
2.523983e-12,1.044538,1.046839,-0.002301036
2.670761e-12,1.044532,1.046844,-0.002312715
2.824597e-12,1.044535,1.04684,-0.002304794
2.986984e-12,1.044548,1.046825,-0.002277156
3.160264e-12,1.04457,1.0468,-0.002230158
3.348377e-12,1.044602,1.046766,-0.002164717
3.559272e-12,1.044641,1.046724,-0.002082333
3.815346e-12,1.044689,1.046673,-0.001984533
4e-12,1.044718,1.046642,-0.001923783
4.049383e-12,1.044727,1.046632,-0.001905193
4.148149e-12,1.044748,1.046609,-0.001860887
4.265019e-12,1.044781,1.046576,-0.001795111
4.397684e-12,1.044825,1.046529,-0.001704106
4.58327e-12,1.0449,1.046453,-0.001552429
4.791635e-12,1.044997,1.046354,-0.00135655
5e-12,1.045103,1.046246,-0.001143149
5.062258e-12,1.045132,1.046216,-0.001083767
5.183597e-12,1.045182,1.046166,-0.0009836811
5.28924e-12,1.045215,1.046132,-0.0009166693
5.500527e-12,1.045251,1.046096,-0.0008448813
5.649855e-12,1.045251,1.046096,-0.0008453703
5.782204e-12,1.045233,1.046114,-0.0008814044
5.915725e-12,1.045198,1.046149,-0.0009510274
6.045847e-12,1.045149,1.046199,-0.001049792
6.177852e-12,1.045085,1.046264,-0.001179303
6.313211e-12,1.045005,1.046345,-0.001340205
6.452647e-12,1.04491,1.046442,-0.001532356
6.597834e-12,1.044799,1.046555,-0.001756588
6.750931e-12,1.044671,1.046685,-0.002014162
6.915635e-12,1.044525,1.046833,-0.002308125
7.099482e-12,1.044357,1.047004,-0.002646525
7.323613e-12,1.044154,1.04721,-0.003056114
7.629477e-12,1.043898,1.04747,-0.003571554
7.848132e-12,1.043741,1.047629,-0.003888696
8.022255e-12,1.043636,1.047736,-0.004099492
8.180362e-12,1.04356,1.047813,-0.004252104
8.324248e-12,1.043509,1.047864,-0.00435504
8.461249e-12,1.043478,1.047897,-0.004418896
8.59515e-12,1.043464,1.047911,-0.004447798
8.727295e-12,1.043466,1.047909,-0.004443305
8.858879e-12,1.043484,1.047891,-0.004406365
8.990732e-12,1.043518,1.047856,-0.004337597
9.123602e-12,1.043568,1.047806,-0.004237506
9.258339e-12,1.043633,1.04774,-0.00410645
9.395945e-12,1.043714,1.047658,-0.003944591
9.537683e-12,1.043809,1.047561,-0.003751801
9.685276e-12,1.043921,1.047448,-0.003527441
9.841295e-12,1.044049,1.047319,-0.003269913
1.00101e-11,1.044195,1.04717,-0.002975473
1.020074e-11,1.044364,1.046999,-0.002634427
1.044164e-11,1.044574,1.046786,-0.002211094
1.064126e-11,1.044738,1.04662,-0.001882005
1.085928e-11,1.044897,1.046459,-0.001562306
1.104077e-11,1.045008,1.046346,-0.001338209
1.119892e-11,1.045086,1.046267,-0.00118046
1.134685e-11,1.045142,1.04621,-0.001068638
1.148686e-11,1.045177,1.046174,-0.0009971697
1.162263e-11,1.045195,1.046156,-0.0009612635
1.175638e-11,1.045196,1.046155,-0.0009587392
1.188921e-11,1.045182,1.04617,-0.0009885069
1.202206e-11,1.045151,1.046201,-0.001049835
1.215578e-11,1.045105,1.046248,-0.001142187
1.229121e-11,1.045044,1.04631,-0.001265164
1.242936e-11,1.044968,1.046387,-0.001418545
1.257145e-11,1.044877,1.046479,-0.001602379
1.271914e-11,1.04477,1.046588,-0.001817157
1.287489e-11,1.044648,1.046712,-0.002064214
1.304274e-11,1.044508,1.046854,-0.002346727
1.323084e-11,1.044346,1.047019,-0.002672808
1.346276e-11,1.044149,1.047219,-0.003070342
1.367584e-11,1.043978,1.047392,-0.003414352
1.390488e-11,1.043815,1.047558,-0.0037424
1.409002e-11,1.043705,1.04767,-0.003964929
1.425106e-11,1.043628,1.047748,-0.004120732
1.440097e-11,1.043574,1.047803,-0.004229919
1.45423e-11,1.043539,1.047838,-0.004298623
1.467928e-11,1.043523,1.047855,-0.004331977
1.481417e-11,1.043523,1.047855,-0.004332151
1.494811e-11,1.043539,1.047839,-0.004300233
1.508209e-11,1.04357,1.047807,-0.004236936
1.521696e-11,1.043617,1.04776,-0.004142781
1.535358e-11,1.043679,1.047697,-0.004018154
1.5493e-11,1.043756,1.047619,-0.003863251
1.563646e-11,1.043848,1.047526,-0.003677991
1.578571e-11,1.043956,1.047417,-0.003461827
1.594328e-11,1.044079,1.047292,-0.003213312
1.611347e-11,1.04422,1.047149,-0.002929024
1.630503e-11,1.044383,1.046984,-0.00260013
1.654461e-11,1.044585,1.04678,-0.002194983
1.675109e-11,1.044748,1.046614,-0.001866905
1.697577e-11,1.044905,1.046455,-0.001549794
1.716074e-11,1.045014,1.046344,-0.001330446
1.732181e-11,1.04509,1.046267,-0.001176551
1.747224e-11,1.045144,1.046212,-0.001068104
1.761444e-11,1.045178,1.046178,-0.0009994087
1.775235e-11,1.045195,1.046161,-0.0009656069
1.788827e-11,1.045196,1.04616,-0.0009645429
1.802331e-11,1.045181,1.046176,-0.000995128
1.815849e-11,1.04515,1.046207,-0.001056631
1.829469e-11,1.045105,1.046253,-0.001148511
1.84328e-11,1.045044,1.046314,-0.001270361
1.857391e-11,1.044969,1.046391,-0.001421964
1.871938e-11,1.044879,1.046482,-0.001603381
1.887105e-11,1.044774,1.046589,-0.001815165
1.903176e-11,1.044653,1.046712,-0.002058826
1.920639e-11,1.044514,1.046852,-0.002338086
1.940545e-11,1.044353,1.047016,-0.002663093
1.96659e-11,1.044148,1.047224,-0.003075741
1.985617e-11,1.04401,1.047365,-0.003354896
2.006843e-11,1.043874,1.047503,-0.003629025
2.025063e-11,1.043778,1.047601,-0.003823649
2.040975e-11,1.043711,1.047669,-0.003957165
2.055965e-11,1.043666,1.047714,-0.004048184
2.070227e-11,1.04364,1.047741,-0.004101236
2.084087e-11,1.043631,1.047751,-0.004120207
2.097771e-11,1.043637,1.047744,-0.004106958
2.111387e-11,1.04366,1.047722,-0.004062446
2.125036e-11,1.043697,1.047684,-0.003987318
2.138809e-11,1.043749,1.047631,-0.003882032
2.152803e-11,1.043816,1.047563,-0.003746907
2.167132e-11,1.043898,1.04748,-0.003582041
2.181948e-11,1.043995,1.047382,-0.003387189
2.19746e-11,1.044107,1.047269,-0.00316149
2.213999e-11,1.044236,1.047139,-0.002902822
2.232169e-11,1.044383,1.046989,-0.002605996
2.25341e-11,1.044557,1.046813,-0.00225586
2.284845e-11,1.0448,1.046567,-0.00176711
2.310551e-11,1.044972,1.046392,-0.001419648
2.329475e-11,1.045078,1.046285,-0.001206609
2.346301e-11,1.045153,1.046209,-0.001055185
2.361579e-11,1.045204,1.046157,-0.0009529287
2.37593e-11,1.045236,1.046125,-0.000889863
2.389908e-11,1.04525,1.046111,-0.0008605012
2.403695e-11,1.045249,1.046112,-0.0008630474
2.417419e-11,1.045232,1.046129,-0.0008964783
2.431185e-11,1.045201,1.046161,-0.0009601408
2.445076e-11,1.045155,1.046208,-0.001053499
2.459191e-11,1.045094,1.04627,-0.001176149
2.473646e-11,1.045018,1.046346,-0.001327885
2.488595e-11,1.044929,1.046438,-0.001508812
2.504254e-11,1.044824,1.046544,-0.001719605
2.520964e-11,1.044704,1.046666,-0.001962111
2.539353e-11,1.044565,1.046807,-0.002241069
2.560946e-11,1.044402,1.046973,-0.002570854
2.593645e-11,1.044171,1.047208,-0.003036683
2.618834e-11,1.044019,1.047362,-0.0033432
2.637661e-11,1.043926,1.047456,-0.003530306
2.654537e-11,1.043862,1.047522,-0.003660239
2.669833e-11,1.043821,1.047564,-0.003743098
2.684255e-11,1.043798,1.047587,-0.003788526
2.698328e-11,1.043792,1.047593,-0.003801025
2.71222e-11,1.043802,1.047584,-0.003782116
2.726066e-11,1.043826,1.047559,-0.003732659
2.739967e-11,1.043866,1.047519,-0.003653194
2.754011e-11,1.04392,1.047464,-0.00354417
2.768301e-11,1.043989,1.047395,-0.003405873
2.782961e-11,1.044072,1.04731,-0.00323836
2.798158e-11,1.04417,1.047211,-0.003041307
2.81413e-11,1.044283,1.047097,-0.002813668
2.831267e-11,1.044412,1.046965,-0.00255288
2.850319e-11,1.044562,1.046814,-0.002252454
2.873295e-11,1.044741,1.046632,-0.001891392
2.906337e-11,1.044978,1.046392,-0.001413363
2.929687e-11,1.045122,1.046247,-0.001125388
2.948047e-11,1.045214,1.046153,-0.0009387406
2.964741e-11,1.04528,1.046086,-0.0008058506
2.979907e-11,1.045323,1.046043,-0.0007190558
2.99435e-11,1.045349,1.046017,-0.000668451
3.008495e-11,1.045358,1.046008,-0.0006502116
3.022487e-11,1.045352,1.046014,-0.0006628877
3.036462e-11,1.04533,1.046036,-0.0007055844
3.050517e-11,1.045295,1.046072,-0.0007776904
3.064745e-11,1.045245,1.046123,-0.0008786893
3.079257e-11,1.04518,1.046189,-0.001008225
3.094191e-11,1.045102,1.046268,-0.001166169
3.109734e-11,1.045009,1.046362,-0.001352795
3.126169e-11,1.044902,1.046471,-0.001569159
3.143976e-11,1.044779,1.046597,-0.001818096
3.164163e-11,1.044635,1.046743,-0.00210754
3.190067e-11,1.044456,1.046925,-0.002469188
3.210169e-11,1.044327,1.047056,-0.002728756
3.232525e-11,1.044202,1.047183,-0.00298036
3.251433e-11,1.044117,1.04727,-0.003153298
3.267932e-11,1.044059,1.047328,-0.003268671
3.283439e-11,1.044022,1.047366,-0.003343332
3.298171e-11,1.044003,1.047385,-0.00338182
3.312493e-11,1.044001,1.047388,-0.003387824
3.326646e-11,1.044013,1.047376,-0.003363012
3.340748e-11,1.04404,1.047349,-0.003308261
3.354909e-11,1.044082,1.047306,-0.003224149
3.369232e-11,1.044138,1.047249,-0.00311108
3.383829e-11,1.044209,1.047178,-0.002969307
3.398838e-11,1.044294,1.047092,-0.00279882
