gen,idx,total_index,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M,cost
0,0,1,4.897828e-07,1,7,9.547672e-06,6.758462e-06,9,8.272179e-06,3.04214e-05,1,3,4.807927e-07,6.020411e-06,7,4,0.8796904,2.654902e-07,2,6,8.516489e-06,4.049751e+09,0.005761481,1.384017,0.6920086,-82.45903,-110.3151,-167.0023,-174.8583,0.03010926
0,1,2,4.159724e-07,4,10,7.556908e-06,8.810287e-06,5,7.35531e-06,3.599101e-05,1,2,3.394193e-07,6.097937e-06,5,3,1.064041,4.843156e-07,5,8,8.027111e-06,4.602787e+09,0.01220267,1.525439,0.7627194,-90.18886,-116.6109,-172.5847,-179.0068,0.05248432
0,2,3,4.800572e-07,2,9,9.388278e-06,6.733447e-06,3,8.353848e-06,4.26978e-05,1,1,4.242444e-07,5.783623e-06,9,3,0.7823799,2.68444e-07,2,8,8.737248e-06,8.903282e+09,0.008847933,1.353433,0.6767166,-77.78693,-105.2058,-167.3095,-174.7284,0.5561304
0,3,4,3.807656e-07,2,9,5.627889e-06,6.802419e-06,9,8.452469e-06,3.116705e-05,1,6,4.004015e-07,7.093455e-06,8,4,0.8517594,3.151797e-07,2,7,5.46603e-06,1.880168e+09,0.008818767,1.88392,0.9419602,-100.5738,-123.467,-176.6037,-179.4968,0.4453249
0,4,5,4.401412e-07,4,6,7.881025e-06,5.112768e-06,9,5.709949e-06,3.189018e-05,1,5,3.793107e-07,9.548206e-06,5,4,1.078712,2.512967e-07,1,8,9.566481e-06,2.639644e+09,0.01338443,2.00245,1.001225,-94.915,-119.4082,-172.0799,-176.5731,0.4395413
0,5,6,2.38425e-07,3,8,9.356663e-06,9.123568e-06,2,8.513472e-06,3.101691e-05,1,9,3.282393e-07,7.904108e-06,8,2,1.065729,2.663653e-07,2,8,7.059406e-06,1.394373e+09,0.01458057,2.104408,1.052204,-91.57069,-117.202,-162.8205,-168.4518,0.8840218
0,6,7,3.227646e-07,4,9,5.344926e-06,8.296284e-06,10,9.163636e-06,3.779457e-05,1,10,4.943943e-07,5.575181e-06,6,3,1.035946,1.834765e-07,2,9,8.567792e-06,8.928626e+08,0.009477802,2.006131,1.003066,-101.633,-125.6202,-170.8816,-174.8688,0.7826221
0,7,8,2.645004e-07,2,8,8.636558e-06,8.845255e-06,4,5.281942e-06,3.941342e-05,1,5,1.985903e-07,9.848815e-06,9,4,1.133164,4.754058e-07,3,9,8.779353e-06,1.740598e+09,0.02867011,2.080438,1.040219,-94.21517,-120.033,-164.4548,-170.2727,4.051204
0,8,9,4.541426e-07,1,9,9.19589e-06,5.735951e-06,9,6.138414e-06,4.56525e-05,1,5,3.346363e-07,7.883886e-06,9,4,0.8269864,3.183285e-07,3,7,7.443325e-06,1.863128e+09,0.006629415,1.802007,0.9010036,-92.8891,-119.4403,-170.0792,-176.6304,0.4246517
0,9,10,4.715807e-07,1,9,9.846422e-06,9.93358e-06,8,8.884974e-06,4.676385e-05,1,3,3.93954e-07,7.149278e-06,6,4,0.8142057,4.807474e-07,4,10,5.837592e-06,2.720011e+09,0.00626557,1.349541,0.6747706,-81.01356,-109.1712,-161.7354,-169.893,0.1979323
0,10,11,3.817841e-07,4,8,5.569069e-06,7.175151e-06,4,8.926409e-06,4.212222e-05,1,3,2.008583e-07,6.17163e-06,6,1,0.8089544,2.140079e-07,1,9,9.416348e-06,5.094814e+09,0.007907374,1.894835,0.9474173,-89.9094,-115.389,-175.0716,-180.5513,0.0692864
0,11,12,4.702539e-07,3,6,7.878249e-06,9.928463e-06,3,6.382051e-06,3.256744e-05,1,2,2.1949e-07,6.676218e-06,9,5,1.174648,4.58e-07,3,6,8.270158e-06,5.282095e+09,0.01915656,1.851885,0.9259426,-93.25994,-117.6296,-174.8929,-179.2626,0.8947336
0,12,13,1.872962e-07,1,9,5.439915e-06,6.185172e-06,1,5.850592e-06,3.736089e-05,1,3,2.599667e-07,5.031833e-06,6,4,0.8101192,4.109322e-07,4,7,9.990366e-06,3.945979e+09,0.007232418,1.633005,0.8165026,-68.74636,-97.61706,-152.0766,-160.9473,5.724158
0,13,14,4.743351e-07,3,6,5.216017e-06,9.322284e-06,9,5.124314e-06,4.61624e-05,1,5,2.008536e-07,7.000758e-06,7,1,0.8759928,3.567475e-07,2,6,8.612272e-06,2.409019e+09,0.006706652,1.893061,0.9465303,-95.24553,-120.4566,-174.6173,-179.8283,0.3270986
0,14,15,3.953455e-07,3,10,9.614253e-06,7.13135e-06,2,8.642917e-06,4.119737e-05,1,6,4.748339e-07,9.135869e-06,7,3,1.177324,3.34563e-07,2,9,7.539361e-06,1.807567e+09,0.0141162,2.055782,1.027891,-97.36277,-120.9338,-171.0075,-174.5785,0.7050152
0,15,16,2.194066e-07,3,10,5.941565e-06,9.866248e-06,5,6.280944e-06,3.506467e-05,1,6,3.560127e-07,8.44284e-06,6,5,1.042496,2.302094e-07,3,9,9.427438e-06,1.571372e+09,0.0247717,2.065435,1.032718,-94.75592,-120.5265,-164.7419,-170.5125,2.785593
