cornerNo,proc,VDD,TEMP,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M
1,tt,1.62,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.032102e+09,0.00542036,1.429675,0.7148375,-91.58492,-116.5867,-178.2796,-183.2814
2,tt,1.62,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.070464e+09,0.00555668,1.320563,0.6602814,-90.2665,-115.3613,-176.9193,-182.0141
3,tt,1.62,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.092758e+09,0.005634444,1.251732,0.6258659,-89.46405,-114.5618,-176.0946,-181.1924
4,tt,1.62,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.124442e+09,0.005740418,1.15065,0.5753249,-88.20772,-113.2639,-174.8112,-179.8673
5,tt,1.62,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.134529e+09,0.005772199,1.117335,0.5586674,-87.87391,-112.8669,-174.4705,-179.4635
6,tt,1.8,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.933211e+09,0.00936599,1.633922,0.8169612,-92.99487,-118.1521,-177.1419,-182.2992
7,tt,1.8,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.971883e+09,0.009225382,1.51751,0.7587552,-94.12403,-120.3017,-178.4046,-184.5822
8,tt,1.8,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.995971e+09,0.009147608,1.443165,0.7215823,-90.52309,-115.9372,-174.8824,-180.2965
9,tt,1.8,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.03201e+09,0.009037533,1.333073,0.6665363,-89.15912,-114.6075,-173.6335,-179.0819
10,tt,1.8,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.043721e+09,0.009004002,1.296804,0.6484018,-88.84619,-114.2411,-173.3569,-178.7518
11,tt,1.98,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.85664e+09,0.01453456,1.83387,0.9169349,-94.11232,-119.3667,-176.215,-181.4694
12,tt,1.98,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.894659e+09,0.01395863,1.710408,0.855204,-92.68739,-118.2427,-175.0334,-180.5887
13,tt,1.98,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.919244e+09,0.01363642,1.630762,0.8153808,-91.49962,-117.1427,-173.9906,-179.6336
14,tt,1.98,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.957903e+09,0.01319615,1.511686,0.7558428,-89.98612,-115.7397,-172.6876,-178.4411
15,tt,1.98,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.970743e+09,0.01306106,1.472199,0.7360996,-89.66045,-115.3907,-172.4291,-178.1594
16,ss,1.62,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.134538e+09,0.004007449,1.383544,0.6917719,-90.76479,-115.7899,-178.9461,-183.9712
17,ss,1.62,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.176926e+09,0.004198319,1.268603,0.6343014,-89.58856,-114.6075,-177.6392,-182.6582
18,ss,1.62,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.200549e+09,0.004309292,1.196792,0.598396,-88.86419,-113.8241,-176.8411,-181.801
