time_s,X_V,Y_V,Vdiff_V
0.000000000000e+00,6.697383000000e-01,6.472482000000e-01,2.249008000000e-02
6.300000000023e-13,6.864058000000e-01,6.310439000000e-01,5.536190000000e-02
1.290000000001e-12,7.036832000000e-01,6.139666000000e-01,8.971658000000e-02
1.890000000000e-12,7.192952000000e-01,5.982054000000e-01,1.210897000000e-01
2.490000000000e-12,7.347645000000e-01,5.821653000000e-01,1.525992000000e-01
3.170000000005e-12,7.524148000000e-01,5.631526000000e-01,1.892623000000e-01
3.970000000002e-12,7.729491000000e-01,5.397137000000e-01,2.332353000000e-01
4.660000000003e-12,7.904356000000e-01,5.183352000000e-01,2.721004000000e-01
5.240000000003e-12,8.049836000000e-01,4.994929000000e-01,3.054907000000e-01
5.830000000006e-12,8.198436000000e-01,4.793840000000e-01,3.404596000000e-01
6.650000000002e-12,8.397343000000e-01,4.514853000000e-01,3.882490000000e-01
7.240000000005e-12,8.538961000000e-01,4.311777000000e-01,4.227185000000e-01
7.720000000006e-12,8.651137000000e-01,4.149252000000e-01,4.501885000000e-01
8.180000000000e-12,8.759243000000e-01,3.991736000000e-01,4.767507000000e-01
8.670000000004e-12,8.870733000000e-01,3.828865000000e-01,5.041868000000e-01
9.200000000001e-12,8.993200000000e-01,3.650173000000e-01,5.343027000000e-01
9.840000000000e-12,9.140346000000e-01,3.437222000000e-01,5.703124000000e-01
1.045000000000e-11,9.277880000000e-01,3.241909000000e-01,6.035971000000e-01
1.098000000000e-11,9.398826000000e-01,3.075131000000e-01,6.323695000000e-01
1.153000000000e-11,9.521894000000e-01,2.912227000000e-01,6.609667000000e-01
1.215000000000e-11,9.659912000000e-01,2.739688000000e-01,6.920224000000e-01
1.286000000000e-11,9.815504000000e-01,2.559253000000e-01,7.256251000000e-01
1.344000000000e-11,9.940866000000e-01,2.424285000000e-01,7.516581000000e-01
1.400000000000e-11,1.006284000000e+00,2.300866000000e-01,7.761971000000e-01
1.466000000000e-11,1.020399000000e+00,2.166314000000e-01,8.037679000000e-01
1.526000000000e-11,1.033017000000e+00,2.052337000000e-01,8.277838000000e-01
1.583000000000e-11,1.044957000000e+00,1.949094000000e-01,8.500475000000e-01
1.633000000000e-11,1.055362000000e+00,1.862273000000e-01,8.691343000000e-01
1.682000000000e-11,1.065281000000e+00,1.781931000000e-01,8.870879000000e-01
1.734000000000e-11,1.075692000000e+00,1.699919000000e-01,9.056999000000e-01
1.797000000000e-11,1.088083000000e+00,1.605136000000e-01,9.275690000000e-01
1.852000000000e-11,1.098704000000e+00,1.526164000000e-01,9.460875000000e-01
1.905000000000e-11,1.108635000000e+00,1.454120000000e-01,9.632225000000e-01
1.959000000000e-11,1.118640000000e+00,1.383214000000e-01,9.803188000000e-01
2.018000000000e-11,1.129360000000e+00,1.309056000000e-01,9.984544000000e-01
2.091000000000e-11,1.142315000000e+00,1.221845000000e-01,1.020131000000e+00
2.154000000000e-11,1.153262000000e+00,1.150162000000e-01,1.038245000000e+00
2.220000000000e-11,1.164615000000e+00,1.077713000000e-01,1.056843000000e+00
2.280000000000e-11,1.174673000000e+00,1.015140000000e-01,1.073159000000e+00
2.337000000001e-11,1.184220000000e+00,9.571786000000e-02,1.088502000000e+00
2.398000000000e-11,1.194186000000e+00,8.982102000000e-02,1.104365000000e+00
2.472000000001e-11,1.205822000000e+00,8.294878000000e-02,1.122873000000e+00
2.556000000000e-11,1.218223000000e+00,7.527052000000e-02,1.142953000000e+00
2.633000000000e-11,1.229254000000e+00,6.879927000000e-02,1.160455000000e+00
2.688000000001e-11,1.236956000000e+00,6.448922000000e-02,1.172467000000e+00
2.747000000000e-11,1.244851000000e+00,6.025566000000e-02,1.184595000000e+00
2.809000000000e-11,1.253049000000e+00,5.605626000000e-02,1.196992000000e+00
2.885000000000e-11,1.262820000000e+00,5.130599000000e-02,1.211514000000e+00
2.947000000000e-11,1.270687000000e+00,4.768184000000e-02,1.223005000000e+00
3.020000000001e-11,1.279700000000e+00,4.374838000000e-02,1.235951000000e+00
3.085000000000e-11,1.287511000000e+00,4.053477000000e-02,1.246976000000e+00
3.146000000000e-11,1.294827000000e+00,3.770176000000e-02,1.257125000000e+00
3.212000000000e-11,1.302485000000e+00,3.493694000000e-02,1.267548000000e+00
3.294000000001e-11,1.311659000000e+00,3.192813000000e-02,1.279731000000e+00
3.363000000000e-11,1.319035000000e+00,2.977548000000e-02,1.289260000000e+00
3.438000000000e-11,1.326685000000e+00,2.781600000000e-02,1.298869000000e+00
3.505000000000e-11,1.333285000000e+00,2.635958000000e-02,1.306925000000e+00
3.570000000000e-11,1.339470000000e+00,2.519337000000e-02,1.314276000000e+00
3.643000000001e-11,1.346020000000e+00,2.416073000000e-02,1.321859000000e+00
3.745000000000e-11,1.354748000000e+00,2.309035000000e-02,1.331657000000e+00
3.840000000001e-11,1.362390000000e+00,2.244654000000e-02,1.339943000000e+00
3.914000000000e-11,1.367988000000e+00,2.217008000000e-02,1.345817000000e+00
3.986000000000e-11,1.373116000000e+00,2.209217000000e-02,1.351024000000e+00
4.063000000000e-11,1.378256000000e+00,2.223071000000e-02,1.356026000000e+00
4.172000000000e-11,1.384732000000e+00,2.283236000000e-02,1.361899000000e+00
4.272000000001e-11,1.389952000000e+00,2.380990000000e-02,1.366142000000e+00
4.351000000000e-11,1.393528000000e+00,2.484499000000e-02,1.368683000000e+00
4.430000000000e-11,1.396619000000e+00,2.607233000000e-02,1.370546000000e+00
4.518000000000e-11,1.399576000000e+00,2.764973000000e-02,1.371927000000e+00
4.604000000001e-11,1.401965000000e+00,2.936172000000e-02,1.372604000000e+00
4.702000000000e-11,1.404112000000e+00,3.151303000000e-02,1.372599000000e+00
4.786000000000e-11,1.405447000000e+00,3.353126000000e-02,1.371915000000e+00
4.871000000000e-11,1.406227000000e+00,3.564877000000e-02,1.370578000000e+00
4.972000000000e-11,1.406249000000e+00,3.810967000000e-02,1.368140000000e+00
5.070000000000e-11,1.405532000000e+00,4.078277000000e-02,1.364749000000e+00
5.155000000000e-11,1.404323000000e+00,4.328540000000e-02,1.361038000000e+00
5.240000000000e-11,1.402569000000e+00,4.598494000000e-02,1.356584000000e+00
5.332000000000e-11,1.400109000000e+00,4.906292000000e-02,1.351046000000e+00
5.431000000000e-11,1.396796000000e+00,5.258900000000e-02,1.344207000000e+00
5.553000000000e-11,1.391879000000e+00,5.712645000000e-02,1.334752000000e+00
5.650000000000e-11,1.387279000000e+00,6.092368000000e-02,1.326356000000e+00
5.747000000000e-11,1.382011000000e+00,6.493420000000e-02,1.317077000000e+00
5.870000000000e-11,1.374395000000e+00,7.030647000000e-02,1.304088000000e+00
6.021000000000e-11,1.363663000000e+00,7.732751000000e-02,1.286335000000e+00
6.131000000000e-11,1.354852000000e+00,8.277737000000e-02,1.272074000000e+00
6.245000000000e-11,1.344889000000e+00,8.870663000000e-02,1.256182000000e+00
6.412000000000e-11,1.328981000000e+00,9.782714000000e-02,1.231154000000e+00
6.553000000000e-11,1.314262000000e+00,1.060191000000e-01,1.208243000000e+00
6.680000000001e-11,1.300092000000e+00,1.137592000000e-01,1.186332000000e+00
6.841000000000e-11,1.280695000000e+00,1.241865000000e-01,1.156509000000e+00
7.026000000000e-11,1.256541000000e+00,1.369483000000e-01,1.119593000000e+00
7.171000000000e-11,1.236163000000e+00,1.475417000000e-01,1.088621000000e+00
7.337000000000e-11,1.211230000000e+00,1.603376000000e-01,1.050892000000e+00
7.594000000000e-11,1.169296000000e+00,1.817415000000e-01,9.875540000000e-01
7.778000000001e-11,1.136914000000e+00,1.985129000000e-01,9.384013000000e-01
7.951000000000e-11,1.104663000000e+00,2.158460000000e-01,8.888171000000e-01
8.103000000000e-11,1.075216000000e+00,2.326358000000e-01,8.425798000000e-01
8.231000000000e-11,1.049439000000e+00,2.484826000000e-01,8.009561000000e-01
8.344000000000e-11,1.025990000000e+00,2.642004000000e-01,7.617898000000e-01
8.446000000000e-11,1.004433000000e+00,2.800590000000e-01,7.243742000000e-01
8.540000000001e-11,9.841754000000e-01,2.964013000000e-01,6.877740000000e-01
