time_s,X_V,Y_V,Vdiff_V
0.0,0.6767018,0.6767018,0.0
1.245105e-14,0.6767017,0.6767019,-2.473108e-07
1.415418e-14,0.6767017,0.676702,-2.853323e-07
1.756046e-14,0.6767016,0.676702,-3.70877e-07
2.10607e-14,0.6767016,0.676702,-4.73701e-07
2.445911e-14,0.6767015,0.6767021,-5.883112e-07
2.840503e-14,0.6767014,0.6767022,-7.39625e-07
3.259762e-14,0.6767014,0.6767023,-9.21729e-07
3.695392e-14,0.6767012,0.6767024,-1.134077e-06
4.148687e-14,0.6767011,0.6767025,-1.379943e-06
4.619222e-14,0.676701,0.6767026,-1.661945e-06
5.109672e-14,0.6767008,0.6767028,-1.984862e-06
5.62347e-14,0.6767006,0.676703,-2.354842e-06
6.164014e-14,0.6767004,0.6767032,-2.77906e-06
6.73388e-14,0.6767002,0.6767034,-3.265112e-06
7.329082e-14,0.6766999,0.6767037,-3.815308e-06
7.951917e-14,0.6766996,0.676704,-4.437574e-06
8.605235e-14,0.6766992,0.6767044,-5.141424e-06
9.29175e-14,0.6766988,0.6767048,-5.937442e-06
1.001456e-13,0.6766984,0.6767052,-6.838004e-06
1.077677e-13,0.6766979,0.6767057,-7.857049e-06
1.158153e-13,0.6766973,0.6767063,-9.010301e-06
1.243218e-13,0.6766966,0.676707,-1.031562e-05
1.333223e-13,0.6766959,0.6767077,-1.17933e-05
1.428545e-13,0.6766951,0.6767085,-1.346654e-05
1.529598e-13,0.6766941,0.6767095,-1.536193e-05
1.636833e-13,0.6766931,0.6767106,-1.751008e-05
1.750755e-13,0.6766918,0.6767118,-1.994643e-05
1.871928e-13,0.6766904,0.6767132,-2.271222e-05
2.000992e-13,0.6766889,0.6767147,-2.585569e-05
2.138674e-13,0.6766871,0.6767165,-2.943363e-05
2.285805e-13,0.676685,0.6767186,-3.351318e-05
2.443334e-13,0.6766827,0.6767209,-3.817414e-05
2.612349e-13,0.67668,0.6767236,-4.35117e-05
2.794082e-13,0.676677,0.6767266,-4.96395e-05
2.989921e-13,0.6766735,0.6767301,-5.669316e-05
3.201392e-13,0.6766694,0.6767342,-6.483368e-05
3.43013e-13,0.6766647,0.6767389,-7.425027e-05
3.677807e-13,0.6766592,0.6767444,-8.516176e-05
3.946032e-13,0.6766529,0.6767507,-9.781539e-05
4.233186e-13,0.6766456,0.676758,-0.0001123241
4.539818e-13,0.6766373,0.6767663,-0.0001289123
4.868903e-13,0.6766278,0.6767758,-0.0001479694
5.223996e-13,0.6766168,0.6767868,-0.0001699834
5.609159e-13,0.676604,0.6767996,-0.0001955564
6.022843e-13,0.6765893,0.6768143,-0.0002249769
6.466736e-13,0.6765724,0.6768312,-0.0002587825
