cornerNo,proc,VDD,TEMP,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M
1,tt,1.62,-40,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.073688e+09,0.002309493,1.461009,0.7305043,-92.22789,-117.118,-182.6992,-187.5893
2,tt,1.62,0.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.090246e+09,0.002354394,1.355231,0.6776157,-90.96127,-115.9583,-181.3773,-186.3743
3,tt,1.62,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.100806e+09,0.002378704,1.285829,0.6429143,-90.26314,-115.2314,-180.6525,-185.6208
4,tt,1.62,70.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.116577e+09,0.002407844,1.180358,0.5901789,-89.16345,-114.0237,-179.5268,-184.387
5,tt,1.62,85,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.1219e+09,0.002415657,1.145296,0.572648,-88.80367,-113.6226,-179.1619,-183.9809
6,tt,1.8,-40,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.032795e+09,0.003937412,1.67144,0.8357199,-93.20992,-118.1919,-181.294,-186.276
7,tt,1.8,0.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.04914e+09,0.003856903,1.559885,0.7799427,-91.89307,-117.0316,-180.095,-185.2336
8,tt,1.8,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.06013e+09,0.003809193,1.485755,0.7428773,-91.08508,-116.2672,-179.36,-184.5421
9,tt,1.8,70.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.077438e+09,0.003739234,1.371548,0.685774,-89.8534,-115.0369,-178.2385,-183.422
10,tt,1.8,85,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.083544e+09,0.003716077,1.333045,0.6665227,-89.43067,-114.6081,-177.8532,-183.0306
11,tt,1.98,-40,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.000737e+09,0.006013306,1.875658,0.937829,-94.01743,-119.0858,-180.207,-185.2754
12,tt,1.98,0.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.016792e+09,0.005742335,1.758091,0.8790454,-92.66343,-117.9185,-179.0811,-184.3361
13,tt,1.98,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.02789e+09,0.005586798,1.679169,0.8395843,-91.82099,-117.1484,-178.3771,-183.7045
14,tt,1.98,70.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.045818e+09,0.005370786,1.556179,0.7780894,-90.50672,-115.9079,-177.265,-182.6661
15,tt,1.98,85,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.052415e+09,0.00530258,1.514352,0.7571761,-90.03969,-115.4665,-176.8648,-182.2916
16,ss,1.62,-40,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.122419e+09,0.00163548,1.399479,0.6997395,-91.65945,-116.6478,-183.7125,-188.7008
17,ss,1.62,0.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.1421e+09,0.001708802,1.28296,0.6414798,-90.47284,-115.4494,-182.3687,-187.3453
18,ss,1.62,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.153972e+09,0.00174944,1.207733,0.6038665,-89.89658,-114.7435,-181.7104,-186.5574
19,ss,1.62,70.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.170602e+09,0.001801626,1.095124,0.5475621,-89.00057,-113.6036,-180.7147,-185.3177
20,ss,1.62,85,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.176002e+09,0.00181676,1.05783,0.5289149,-88.67576,-113.195,-180.3627,-184.8819
21,ss,1.8,-40,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.0768e+09,0.002956302,1.61313,0.8065648,-92.72615,-117.8182,-182.1305,-187.2225
22,ss,1.8,0.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.096624e+09,0.002936044,1.490524,0.7452621,-91.35127,-116.5493,-180.8193,-186.0173
23,ss,1.8,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.109588e+09,0.002922533,1.410287,0.7051433,-90.60991,-115.7773,-180.12,-185.2874
24,ss,1.8,70.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.129034e+09,0.002899398,1.288509,0.6442543,-89.52789,-114.5769,-179.1055,-184.1546
25,ss,1.8,85,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.135651e+09,0.002890784,1.247895,0.6239474,-89.14922,-114.149,-178.751,-183.7508
26,ss,1.98,-40,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.041213e+09,0.004683369,1.818211,0.9091054,-93.62548,-118.8006,-180.9706,-186.1457
27,ss,1.98,0.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.060775e+09,0.004507639,1.688924,0.8444618,-92.18766,-117.5279,-179.7325,-185.0728
28,ss,1.98,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.074092e+09,0.004406437,1.603279,0.8016397,-91.3006,-116.6744,-178.9669,-184.3407
29,ss,1.98,70.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.095112e+09,0.004264475,1.471851,0.7359253,-90.04206,-115.4058,-177.8865,-183.2502
30,ss,1.98,85,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.10247e+09,0.004219189,1.427693,0.7138464,-89.60771,-114.9607,-177.511,-182.864
31,ff,1.62,-40,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.027331e+09,0.003223129,1.514082,0.7570408,-92.66627,-117.4382,-181.6102,-186.3821
32,ff,1.62,0.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.041018e+09,0.003218541,1.418015,0.7090076,-91.44771,-116.3629,-180.4215,-185.3366
33,ff,1.62,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.050157e+09,0.003214669,1.354293,0.6771465,-90.66112,-115.6106,-179.6559,-184.6053
34,ff,1.62,70.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.064009e+09,0.003204759,1.25584,0.62792,-89.4977,-114.4568,-178.5296,-183.4888
35,ff,1.62,85,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.068959e+09,0.003200322,1.222674,0.6113371,-89.09632,-114.0477,-178.1428,-183.0941
36,ff,1.8,-40,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,4.990775e+09,0.005220955,1.72227,0.8611352,-93.54212,-118.4178,-180.328,-185.2037
37,ff,1.8,0.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.004299e+09,0.005053357,1.620843,0.8104214,-92.30411,-117.3417,-179.2552,-184.2927
38,ff,1.8,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.0136e+09,0.004956055,1.552789,0.7763943,-91.51566,-116.6201,-178.5673,-183.6717
39,ff,1.8,70.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.028328e+09,0.0048184,1.446288,0.723144,-90.23653,-115.4214,-177.436,-182.6209
40,ff,1.8,85,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.033762e+09,0.00477424,1.40995,0.7049752,-89.81487,-115.0238,-177.0637,-182.2726
41,ff,1.98,-40,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,4.962056e+09,0.007711716,1.925874,0.9629368,-94.21971,-119.1978,-179.2614,-184.2395
42,ff,1.98,0.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,4.975378e+09,0.007313548,1.818951,0.9094753,-93.04881,-118.1881,-178.3441,-183.4834
43,ff,1.98,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,4.984535e+09,0.00708423,1.746484,0.8732422,-92.25324,-117.478,-177.7028,-182.9275
44,ff,1.98,70.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,4.999735e+09,0.006768234,1.632261,0.8161306,-90.9806,-116.3259,-176.6548,-182.0001
45,ff,1.98,85,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.005458e+09,0.00666903,1.592937,0.7964684,-90.51876,-115.9093,-176.267,-181.6575
46,sf,1.62,-40,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.079337e+09,0.002372104,1.483209,0.7416045,-92.60811,-117.3111,-182.9729,-187.6759
47,sf,1.62,0.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.096448e+09,0.002402044,1.378596,0.6892982,-91.28314,-116.0916,-181.6227,-186.4312
48,sf,1.62,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.107647e+09,0.002416893,1.309669,0.6548347,-90.54189,-115.3348,-180.8737,-185.6666
49,sf,1.62,70.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.124556e+09,0.002432342,1.204365,0.6021827,-89.47361,-114.1688,-179.8065,-184.5017
50,sf,1.62,85,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.130304e+09,0.002435558,1.168971,0.5844855,-89.1263,-113.7703,-179.4632,-184.1072
51,sf,1.8,-40,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.039619e+09,0.003992188,1.689857,0.8449285,-93.50657,-118.3353,-181.5424,-186.3711
52,sf,1.8,0.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.056649e+09,0.003886919,1.578499,0.7892493,-92.13236,-117.1153,-180.3136,-185.2965
53,sf,1.8,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.068374e+09,0.003824939,1.504252,0.7521261,-91.30398,-116.3252,-179.5751,-184.5964
