time_s,X_V,Y_V,Vdiff_V
0.000000000000e+00,6.921702000000e-01,6.833110000000e-01,8.859230000000e-03
9.700000000048e-13,7.180004000000e-01,6.598794000000e-01,5.812102000000e-02
2.090000000004e-12,7.473015000000e-01,6.322475000000e-01,1.150540000000e-01
2.970000000000e-12,7.698113000000e-01,6.099317000000e-01,1.598796000000e-01
3.990000000001e-12,7.953031000000e-01,5.830817000000e-01,2.122214000000e-01
5.160000000004e-12,8.239531000000e-01,5.505917000000e-01,2.733615000000e-01
6.240000000004e-12,8.493370000000e-01,5.199332000000e-01,3.294037000000e-01
7.179999999999e-12,8.710756000000e-01,4.925729000000e-01,3.785027000000e-01
8.090000000005e-12,8.916521000000e-01,4.659281000000e-01,4.257240000000e-01
9.350000000003e-12,9.197519000000e-01,4.286198000000e-01,4.911321000000e-01
1.025000000001e-11,9.393858000000e-01,4.020871000000e-01,5.372987000000e-01
1.102000000000e-11,9.560753000000e-01,3.793879000000e-01,5.766874000000e-01
1.179000000000e-11,9.724665000000e-01,3.571721000000e-01,6.152943000000e-01
1.258000000000e-11,9.890971000000e-01,3.350305000000e-01,6.540666000000e-01
1.335000000000e-11,1.005259000000e+00,3.143061000000e-01,6.909532000000e-01
1.410000000000e-11,1.021197000000e+00,2.950269000000e-01,7.261705000000e-01
1.505000000000e-11,1.041354000000e+00,2.726242000000e-01,7.687293000000e-01
1.593000000000e-11,1.060675000000e+00,2.531393000000e-01,8.075358000000e-01
1.656000000000e-11,1.074656000000e+00,2.400689000000e-01,8.345876000000e-01
1.714000000000e-11,1.087580000000e+00,2.286338000000e-01,8.589465000000e-01
1.775000000000e-11,1.101277000000e+00,2.171028000000e-01,8.841745000000e-01
1.869000000000e-11,1.121973000000e+00,2.006866000000e-01,9.212862000000e-01
1.940000000000e-11,1.137188000000e+00,1.893071000000e-01,9.478806000000e-01
2.000000000000e-11,1.150053000000e+00,1.801036000000e-01,9.699492000000e-01
2.064000000000e-11,1.163469000000e+00,1.708898000000e-01,9.925788000000e-01
2.134000000000e-11,1.178356000000e+00,1.610950000000e-01,1.017261000000e+00
2.214000000000e-11,1.194875000000e+00,1.507238000000e-01,1.044151000000e+00
2.285000000000e-11,1.209579000000e+00,1.419122000000e-01,1.067667000000e+00
2.354000000000e-11,1.223730000000e+00,1.338032000000e-01,1.089926000000e+00
2.437000000000e-11,1.240269000000e+00,1.247958000000e-01,1.115473000000e+00
2.523000000000e-11,1.256970000000e+00,1.160092000000e-01,1.140961000000e+00
2.610000000000e-11,1.272993000000e+00,1.077025000000e-01,1.165291000000e+00
2.697000000000e-11,1.288924000000e+00,1.000720000000e-01,1.188852000000e+00
2.770000000000e-11,1.301923000000e+00,9.429555000000e-02,1.207628000000e+00
2.850000000000e-11,1.315848000000e+00,8.853418000000e-02,1.227314000000e+00
2.947000000000e-11,1.332614000000e+00,8.216505000000e-02,1.250449000000e+00
3.035000000000e-11,1.347350000000e+00,7.707862000000e-02,1.270271000000e+00
3.143000000000e-11,1.364860000000e+00,7.164512000000e-02,1.293215000000e+00
3.284000000000e-11,1.386257000000e+00,6.583586000000e-02,1.320421000000e+00
3.389000000000e-11,1.401178000000e+00,6.228115000000e-02,1.338896000000e+00
3.512000000001e-11,1.417637000000e+00,5.878171000000e-02,1.358855000000e+00
3.653000000000e-11,1.434887000000e+00,5.559975000000e-02,1.379287000000e+00
3.780000000000e-11,1.448874000000e+00,5.346234000000e-02,1.395411000000e+00
3.924000000000e-11,1.462940000000e+00,5.183865000000e-02,1.411101000000e+00
4.120000000000e-11,1.479000000000e+00,5.088171000000e-02,1.428118000000e+00
4.293000000000e-11,1.490126000000e+00,5.113481000000e-02,1.438991000000e+00
4.500000000000e-11,1.499778000000e+00,5.269173000000e-02,1.447087000000e+00
4.735000000000e-11,1.505454000000e+00,5.553118000000e-02,1.449923000000e+00
4.918000000000e-11,1.506268000000e+00,5.891387000000e-02,1.447354000000e+00
5.094000000000e-11,1.504145000000e+00,6.306168000000e-02,1.441084000000e+00
5.306000000000e-11,1.497844000000e+00,6.922187000000e-02,1.428622000000e+00
5.481000000000e-11,1.489570000000e+00,7.523805000000e-02,1.414332000000e+00
5.689000000000e-11,1.476210000000e+00,8.342915000000e-02,1.392780000000e+00
6.058000000000e-11,1.443188000000e+00,1.006980000000e-01,1.342490000000e+00
6.383000000001e-11,1.404598000000e+00,1.186395000000e-01,1.285959000000e+00
6.699000000000e-11,1.358832000000e+00,1.386816000000e-01,1.220151000000e+00
6.938000000000e-11,1.319392000000e+00,1.558536000000e-01,1.163538000000e+00
7.128000000000e-11,1.285438000000e+00,1.709755000000e-01,1.114463000000e+00
7.297000000000e-11,1.253423000000e+00,1.855281000000e-01,1.067895000000e+00
7.475000000000e-11,1.217751000000e+00,2.020230000000e-01,1.015728000000e+00
7.697000000000e-11,1.170682000000e+00,2.244660000000e-01,9.462155000000e-01
7.918000000000e-11,1.121378000000e+00,2.495883000000e-01,8.717896000000e-01
8.095000000000e-11,1.080556000000e+00,2.726062000000e-01,8.079500000000e-01
8.221000000000e-11,1.051248000000e+00,2.910037000000e-01,7.602448000000e-01
8.327000000000e-11,1.026547000000e+00,3.080544000000e-01,7.184929000000e-01
8.425000000000e-11,1.003945000000e+00,3.250142000000e-01,6.789304000000e-01
8.523000000000e-11,9.812461000000e-01,3.433607000000e-01,6.378853000000e-01
8.615000000000e-11,9.600317000000e-01,3.616672000000e-01,5.983645000000e-01
8.715000000000e-11,9.371058000000e-01,3.826795000000e-01,5.544262000000e-01
8.831000000000e-11,9.107601000000e-01,4.083532000000e-01,5.024069000000e-01
8.932000000000e-11,8.878897000000e-01,4.319065000000e-01,4.559833000000e-01
9.033000000000e-11,8.649659000000e-01,4.566422000000e-01,4.083237000000e-01
9.150000000000e-11,8.387679000000e-01,4.862027000000e-01,3.525651000000e-01
9.281000000000e-11,8.097443000000e-01,5.203240000000e-01,2.894203000000e-01
9.415000000000e-11,7.799255000000e-01,5.562484000000e-01,2.236771000000e-01
9.540000000000e-11,7.518643000000e-01,5.898135000000e-01,1.620508000000e-01
9.645000000000e-11,7.276005000000e-01,6.179789000000e-01,1.096215000000e-01
9.734000000000e-11,7.069173000000e-01,6.412885000000e-01,6.562882000000e-02
9.814000000000e-11,6.876326000000e-01,6.625173000000e-01,2.511526000000e-02
9.895000000000e-11,6.679351000000e-01,6.837309000000e-01,-1.579576000000e-02
9.989000000000e-11,6.447780000000e-01,7.080003000000e-01,-6.322227000000e-02
1.011900000000e-10,6.117824000000e-01,7.409737000000e-01,-1.291913000000e-01
1.021000000000e-10,5.876731000000e-01,7.636147000000e-01,-1.759416000000e-01
1.031900000000e-10,5.575526000000e-01,7.900737000000e-01,-2.325211000000e-01
1.045000000000e-10,5.197726000000e-01,8.209319000000e-01,-3.011593000000e-01
1.056700000000e-10,4.854678000000e-01,8.474676000000e-01,-3.619998000000e-01
1.067200000000e-10,4.543303000000e-01,8.707457000000e-01,-4.164154000000e-01
1.079400000000e-10,4.178076000000e-01,8.973609000000e-01,-4.795533000000e-01
1.089400000000e-10,3.876448000000e-01,9.189624000000e-01,-5.313176000000e-01
1.097900000000e-10,3.624207000000e-01,9.369169000000e-01,-5.744962000000e-01
1.106100000000e-10,3.383982000000e-01,9.541218000000e-01,-6.157237000000e-01
1.114400000000e-10,3.148224000000e-01,9.714189000000e-01,-6.565964000000e-01
1.122300000000e-10,2.936911000000e-01,9.876694000000e-01,-6.939783000000e-01
1.130100000000e-10,2.740219000000e-01,1.003873000000e+00,-7.298516000000e-01
1.138700000000e-10,2.536485000000e-01,1.022216000000e+00,-7.685675000000e-01
1.146600000000e-10,2.362650000000e-01,1.039375000000e+00,-8.031098000000e-01
1.152600000000e-10,2.237545000000e-01,1.052645000000e+00,-8.288906000000e-01
1.158200000000e-10,2.125528000000e-01,1.065196000000e+00,-8.526436000000e-01
1.164400000000e-10,2.009641000000e-01,1.078856000000e+00,-8.778919000000e-01
1.170900000000e-10,1.894779000000e-01,1.093090000000e+00,-9.036118000000e-01
1.177700000000e-10,1.780405000000e-01,1.107988000000e+00,-9.299474000000e-01
1.183600000000e-10,1.688839000000e-01,1.120475000000e+00,-9.515906000000e-01
1.189400000000e-10,1.601396000000e-01,1.132901000000e+00,-9.727609000000e-01
1.196100000000e-10,1.506421000000e-01,1.146994000000e+00,-9.963514000000e-01
1.203400000000e-10,1.408186000000e-01,1.162272000000e+00,-1.021454000000e+00
1.210600000000e-10,1.316610000000e-01,1.177213000000e+00,-1.045552000000e+00
1.217100000000e-10,1.237272000000e-01,1.190758000000e+00,-1.067031000000e+00
1.224200000000e-10,1.156031000000e-01,1.205289000000e+00,-1.089686000000e+00
1.232400000000e-10,1.065960000000e-01,1.221467000000e+00,-1.114871000000e+00
1.240000000000e-10,9.871818000000e-02,1.236012000000e+00,-1.137293000000e+00
1.246900000000e-10,9.218520000000e-02,1.248875000000e+00,-1.156689000000e+00
1.254000000000e-10,8.604116000000e-02,1.261736000000e+00,-1.175694000000e+00
1.261100000000e-10,8.027741000000e-02,1.274563000000e+00,-1.194286000000e+00
1.268900000000e-10,7.442761000000e-02,1.288462000000e+00,-1.214035000000e+00
1.276500000000e-10,6.918073000000e-02,1.301873000000e+00,-1.232692000000e+00
1.283900000000e-10,6.454684000000e-02,1.314709000000e+00,-1.250162000000e+00
1.293100000000e-10,5.953614000000e-02,1.330050000000e+00,-1.270514000000e+00
1.301700000000e-10,5.549134000000e-02,1.343979000000e+00,-1.288487000000e+00
1.310100000000e-10,5.211920000000e-02,1.357003000000e+00,-1.304884000000e+00
1.318600000000e-10,4.916575000000e-02,1.369708000000e+00,-1.320543000000e+00
1.329900000000e-10,4.580594000000e-02,1.385920000000e+00,-1.340114000000e+00
1.341600000000e-10,4.295576000000e-02,1.401737000000e+00,-1.358781000000e+00
1.351500000000e-10,4.105612000000e-02,1.414131000000e+00,-1.373075000000e+00
1.363400000000e-10,3.936746000000e-02,1.427869000000e+00,-1.388502000000e+00
1.376400000000e-10,3.822106000000e-02,1.441380000000e+00,-1.403159000000e+00
1.388500000000e-10,3.773732000000e-02,1.452582000000e+00,-1.414845000000e+00
1.403400000000e-10,3.782554000000e-02,1.464514000000e+00,-1.426688000000e+00
1.422200000000e-10,3.896315000000e-02,1.476666000000e+00,-1.437703000000e+00
1.438600000000e-10,4.088387000000e-02,1.484546000000e+00,-1.443662000000e+00
1.457500000000e-10,4.392132000000e-02,1.490322000000e+00,-1.446401000000e+00
1.476800000000e-10,4.786718000000e-02,1.492579000000e+00,-1.444712000000e+00
1.494400000000e-10,5.240596000000e-02,1.491657000000e+00,-1.439251000000e+00
1.516200000000e-10,5.922089000000e-02,1.486654000000e+00,-1.427433000000e+00
1.533100000000e-10,6.543513000000e-02,1.479808000000e+00,-1.414373000000e+00
1.550000000000e-10,7.237091000000e-02,1.470479000000e+00,-1.398108000000e+00
1.574300000000e-10,8.370713000000e-02,1.452608000000e+00,-1.368901000000e+00
1.599500000000e-10,9.699283000000e-02,1.428807000000e+00,-1.331814000000e+00
1.628700000000e-10,1.143566000000e-01,1.394628000000e+00,-1.280271000000e+00
1.656300000000e-10,1.328508000000e-01,1.356053000000e+00,-1.223202000000e+00
1.677600000000e-10,1.486845000000e-01,1.322605000000e+00,-1.173921000000e+00
1.696400000000e-10,1.639777000000e-01,1.290701000000e+00,-1.126723000000e+00
1.713900000000e-10,1.793582000000e-01,1.259093000000e+00,-1.079734000000e+00
1.732600000000e-10,1.971279000000e-01,1.223064000000e+00,-1.025936000000e+00
1.755500000000e-10,2.208081000000e-01,1.176282000000e+00,-9.554736000000e-01
1.777900000000e-10,2.467668000000e-01,1.127966000000e+00,-8.811997000000e-01
1.795800000000e-10,2.702404000000e-01,1.088184000000e+00,-8.179438000000e-01
1.808700000000e-10,2.892544000000e-01,1.059100000000e+00,-7.698453000000e-01
1.819500000000e-10,3.068435000000e-01,1.034616000000e+00,-7.277728000000e-01
1.829300000000e-10,3.242396000000e-01,1.012366000000e+00,-6.881260000000e-01
1.839200000000e-10,3.428387000000e-01,9.903098000000e-01,-6.474711000000e-01
1.848600000000e-10,3.619194000000e-01,9.691508000000e-01,-6.072314000000e-01
1.858500000000e-10,3.829370000000e-01,9.472187000000e-01,-5.642816000000e-01
1.870700000000e-10,4.103958000000e-01,9.203058000000e-01,-5.099100000000e-01
1.880900000000e-10,4.348506000000e-01,8.976716000000e-01,-4.628210000000e-01
1.891100000000e-10,4.599963000000e-01,8.754688000000e-01,-4.154724000000e-01
1.902500000000e-10,4.894663000000e-01,8.505767000000e-01,-3.611105000000e-01
1.916400000000e-10,5.263691000000e-01,8.206812000000e-01,-2.943121000000e-01
1.930000000000e-10,5.633463000000e-01,7.914339000000e-01,-2.280877000000e-01
1.942200000000e-10,5.968704000000e-01,7.646562000000e-01,-1.677858000000e-01
1.952700000000e-10,6.252312000000e-01,7.412927000000e-01,-1.160614000000e-01
1.961500000000e-10,6.489070000000e-01,7.212131000000e-01,-7.230617000000e-02
1.969600000000e-10,6.706323000000e-01,7.023699000000e-01,-3.173755000000e-02
