time_s,X_V,Y_V,Vdiff_V
0.0,0.7104867,0.7104867,0.0
8.810906e-15,0.7104865,0.7104869,-3.936114e-07
9.882119e-15,0.7104865,0.710487,-4.468486e-07
1.202455e-14,0.7104865,0.710487,-5.656499e-07
1.428092e-14,0.7104864,0.7104871,-7.110172e-07
1.646041e-14,0.7104863,0.7104872,-8.717046e-07
1.900102e-14,0.7104862,0.7104873,-1.08431e-06
2.170134e-14,0.7104861,0.7104874,-1.340118e-06
2.449905e-14,0.7104859,0.7104876,-1.637526e-06
2.740305e-14,0.7104857,0.7104877,-1.981025e-06
3.041005e-14,0.7104855,0.7104879,-2.374013e-06
3.353643e-14,0.7104853,0.7104881,-2.822811e-06
3.68033e-14,0.7104851,0.7104884,-3.335551e-06
4.02307e-14,0.7104848,0.7104887,-3.921555e-06
4.383979e-14,0.7104844,0.710489,-4.591815e-06
4.765246e-14,0.7104841,0.7104894,-5.35914e-06
5.169159e-14,0.7104836,0.7104898,-6.238445e-06
5.595133e-14,0.7104831,0.7104903,-7.239779e-06
6.044206e-14,0.7104825,0.7104909,-8.377659e-06
6.518401e-14,0.7104819,0.7104916,-9.670804e-06
7.019755e-14,0.7104812,0.7104923,-1.114034e-05
7.550465e-14,0.7104803,0.7104931,-1.281046e-05
8.112792e-14,0.7104794,0.7104941,-1.470859e-05
8.709041e-14,0.7104783,0.7104952,-1.686558e-05
9.341599e-14,0.7104771,0.7104964,-1.93163e-05
1.001296e-13,0.7104757,0.7104978,-2.21001e-05
1.072574e-13,0.7104741,0.7104993,-2.526152e-05
1.148273e-13,0.7104723,0.7105011,-2.8851e-05
1.228691e-13,0.7104702,0.7105032,-3.292579e-05
1.31415e-13,0.7104679,0.7105055,-3.755103e-05
1.405001e-13,0.7104653,0.7105081,-4.280109e-05
1.50163e-13,0.7104623,0.7105111,-4.876118e-05
1.604464e-13,0.7104589,0.7105144,-5.552937e-05
1.713986e-13,0.7104551,0.7105183,-6.321908e-05
1.830737e-13,0.7104507,0.7105227,-7.196219e-05
1.955336e-13,0.7104457,0.7105276,-8.191292e-05
2.08849e-13,0.71044,0.7105333,-9.325261e-05
2.231012e-13,0.7104336,0.7105397,-0.0001061957
2.383838e-13,0.7104261,0.7105471,-0.000120997
2.548046e-13,0.7104177,0.7105556,-0.0001379605
2.724874e-13,0.7104079,0.7105653,-0.0001574498
2.915722e-13,0.7103967,0.7105766,-0.0001798993
3.122162e-13,0.7103837,0.7105895,-0.0002058267
3.345906e-13,0.7103687,0.7106045,-0.0002358427
3.588753e-13,0.7103512,0.7106219,-0.0002706583
3.852503e-13,0.710331,0.7106421,-0.0003110829
4.135387e-13,0.7103078,0.7106652,-0.0003574292
4.438828e-13,0.7102812,0.7106918,-0.0004105378
4.766199e-13,0.7102506,0.7107223,-0.0004717144
5.121584e-13,0.7102151,0.7107577,-0.0005426032
5.509889e-13,0.7101737,0.710799,-0.0006252742
5.930054e-13,0.7101259,0.7108467,-0.0007207106
6.385351e-13,0.7100708,0.7109017,-0.0008309401
6.878571e-13,0.7100071,0.7109652,-0.0009580682
7.412374e-13,0.7099338,0.7110382,-0.001104326
7.99197e-13,0.7098495,0.7111223,-0.00127283
8.623675e-13,0.709752,0.7112193,-0.001467302
9.315233e-13,0.7096393,0.7113315,-0.001692205
1e-12,0.709522,0.7114483,-0.001926246
1.01819e-12,0.7094905,0.7114796,-0.001989077
1.053231e-12,0.7094307,0.7115392,-0.002108492
1.093028e-12,0.7093642,0.7116052,-0.002241005
1.144641e-12,0.7092808,0.7116882,-0.002407406
1.242881e-12,0.7091312,0.7118366,-0.002705391
1.334274e-12,0.7090038,0.7119627,-0.002958881
1.422247e-12,0.7088927,0.7120725,-0.003179809
1.514021e-12,0.7087893,0.7121742,-0.003384853
1.608006e-12,0.7086973,0.7122643,-0.003566935
1.704241e-12,0.708618,0.7123415,-0.003723521
1.804017e-12,0.7085516,0.7124054,-0.003853839
1.907478e-12,0.7084996,0.7124546,-0.003955002
2.014761e-12,0.7084632,0.7124878,-0.004024586
2.126559e-12,0.7084433,0.7125043,-0.004060981
2.243571e-12,0.7084403,0.7125032,-0.004062901
2.366624e-12,0.7084547,0.7124844,-0.004029778
2.497158e-12,0.7084861,0.712448,-0.003961935
2.637489e-12,0.708534,0.7123946,-0.003860697
2.792056e-12,0.708597,0.7123254,-0.003728398
2.971227e-12,0.7086734,0.7122416,-0.003568197
3.20996e-12,0.70876,0.7121455,-0.003385537
3.451812e-12,0.7088065,0.7120899,-0.003283393
3.623083e-12,0.7088036,0.7120868,-0.003283206
3.7712e-12,0.7087711,0.7121146,-0.003343516
3.907153e-12,0.7087135,0.7121684,-0.003454904
4e-12,0.7086579,0.7122216,-0.003563679
4.121569e-12,0.708584,0.7122928,-0.003708801
4.256989e-12,0.7085075,0.7123669,-0.003859472
4.381286e-12,0.7084439,0.7124285,-0.003984579
4.576949e-12,0.7083588,0.7125116,-0.004152793
4.814092e-12,0.7082818,0.7125874,-0.004305613
5e-12,0.7082431,0.7126262,-0.004383033
5.068091e-12,0.7082253,0.7126442,-0.004418879
5.198849e-12,0.7081766,0.7126937,-0.004517115
5.327851e-12,0.7081076,0.7127637,-0.004656081
5.453753e-12,0.7080211,0.7128515,-0.004830399
5.587952e-12,0.7079104,0.7129639,-0.005053516
5.727367e-12,0.7077787,0.7130976,-0.005318874
5.875018e-12,0.7076256,0.7132529,-0.005627287
6.037114e-12,0.7074483,0.7134327,-0.005984367
6.226979e-12,0.7072394,0.7136447,-0.006405305
6.480377e-12,0.7069805,0.7139072,-0.006926668
6.709201e-12,0.7067856,0.7141048,-0.00731926
6.879137e-12,0.7066739,0.714218,-0.00754415
7.029204e-12,0.706604,0.7142889,-0.007684949
7.166993e-12,0.7065662,0.7143272,-0.00776093
7.296961e-12,0.7065552,0.7143384,-0.007783211
7.424225e-12,0.7065678,0.7143256,-0.007757852
7.550815e-12,0.7066029,0.71429,-0.007687118
7.678156e-12,0.7066599,0.7142322,-0.007572364
7.807603e-12,0.7067383,0.7141528,-0.007414495
7.940559e-12,0.7068377,0.7140519,-0.007214237
8.078907e-12,0.7069581,0.7139299,-0.006971843
8.225511e-12,0.7070997,0.7137863,-0.00668653
8.385416e-12,0.7072644,0.7136193,-0.006354959
8.570068e-12,0.7074577,0.7134233,-0.00596554
8.827606e-12,0.7077107,0.7131667,-0.00545591
9.076292e-12,0.7079141,0.7129604,-0.00504636
9.250912e-12,0.7080227,0.7128502,-0.004827506
9.403348e-12,0.708089,0.7127831,-0.004694099
9.5433e-12,0.7081234,0.7127482,-0.004624828
9.674369e-12,0.7081313,0.7127402,-0.004608874
9.802597e-12,0.708116,0.7127558,-0.004639821
9.930164e-12,0.7080784,0.7127939,-0.004715511
1.005848e-11,0.7080193,0.7128539,-0.004834632
1.018896e-11,0.707939,0.7129354,-0.004996365
1.032304e-11,0.7078379,0.713038,-0.00520002
1.046264e-11,0.7077162,0.7131615,-0.005445383
1.061072e-11,0.7075733,0.7133066,-0.005733318
1.077255e-11,0.7074075,0.7134748,-0.006067367
1.096029e-11,0.7072126,0.7136725,-0.006459908
1.122153e-11,0.7069598,0.7139291,-0.006969207
1.146432e-11,0.7067651,0.7141267,-0.007361588
1.163857e-11,0.7066589,0.7142346,-0.007575686
1.179157e-11,0.7065941,0.7143004,-0.007706321
1.193195e-11,0.7065609,0.7143342,-0.007773355
1.206386e-11,0.7065538,0.7143415,-0.007787712
1.219305e-11,0.7065699,0.7143254,-0.007755465
1.232166e-11,0.7066081,0.7142869,-0.007678763
1.245114e-11,0.7066677,0.7142266,-0.007558906
1.258295e-11,0.7067483,0.7141451,-0.007396724
1.271859e-11,0.7068496,0.7140425,-0.007192887
1.286011e-11,0.7069716,0.7139191,-0.006947547
1.301072e-11,0.7071146,0.7137743,-0.006659664
1.317628e-11,0.7072809,0.713606,-0.00632515
1.337112e-11,0.7074776,0.7134068,-0.005929232
1.36345e-11,0.7077225,0.7131589,-0.005436416
1.3863e-11,0.7078973,0.7129819,-0.005084614
1.403482e-11,0.707997,0.7128811,-0.004884163
1.418745e-11,0.7080576,0.7128198,-0.004762176
1.432753e-11,0.7080877,0.7127895,-0.004701775
1.446013e-11,0.7080925,0.7127849,-0.004692344
1.459025e-11,0.7080746,0.7128032,-0.004728638
1.471994e-11,0.708035,0.7128436,-0.004808587
1.485073e-11,0.7079744,0.7129053,-0.004930932
1.498407e-11,0.7078931,0.7129879,-0.005094807
1.512158e-11,0.7077916,0.7130911,-0.005299536
1.52655e-11,0.7076698,0.7132148,-0.005545007
1.541941e-11,0.7075272,0.7133596,-0.005832419
1.559014e-11,0.7073614,0.713528,-0.006166529
1.579594e-11,0.7071633,0.7137292,-0.006565871
1.606184e-11,0.7069333,0.7139628,-0.007029506
1.62749e-11,0.7067851,0.7141132,-0.007328075
1.6443e-11,0.7066988,0.714201,-0.00750216
1.659439e-11,0.7066485,0.7142522,-0.007603734
1.673365e-11,0.7066273,0.7142738,-0.007646556
1.686667e-11,0.7066305,0.7142708,-0.007640312
1.699767e-11,0.706656,0.7142451,-0.007589071
1.712852e-11,0.706703,0.7141976,-0.007494651
1.72608e-11,0.7067709,0.714129,-0.007358131
1.739601e-11,0.7068593,0.7140395,-0.007180271
1.753591e-11,0.706968,0.7139295,-0.006961562
1.768303e-11,0.7070971,0.7137989,-0.006701754
1.784158e-11,0.7072476,0.7136465,-0.006398852
1.802015e-11,0.7074231,0.7134689,-0.006045784
1.824555e-11,0.7076384,0.7132509,-0.005612426
1.851476e-11,0.7078629,0.7130238,-0.005160907
1.871105e-11,0.7079918,0.7128934,-0.00490161
1.887382e-11,0.7080699,0.7128145,-0.00474459
1.902263e-11,0.7081148,0.7127691,-0.004654281
1.916027e-11,0.7081323,0.7127517,-0.00461947
1.929336e-11,0.7081264,0.712758,-0.004631542
1.94252e-11,0.7080988,0.7127862,-0.004687348
1.955742e-11,0.7080504,0.7128356,-0.004785214
