AMPRF,vomax,po,pinavr,poavr,PCEPer,pidbm,FOM1,FOM2,FOM3,DeltaVo,Area
2.000000e-01,3.470949e-03,5.848890e-11,2.851255e-08,5.206931e-11,1.826189e-01,-4.544964e+01,9.041911e-03,4.109516e-01,1.183975e+02,1.682569e-04,6.414114e-10
2.159550e-01,6.199966e-03,1.866192e-10,3.593663e-08,1.711688e-10,4.763070e-01,-4.444463e+01,4.212537e-02,1.872246e+00,3.019760e+02,1.621660e-04,6.414114e-10
2.331829e-01,1.132355e-02,6.225047e-10,4.420039e-08,5.816546e-10,1.315949e+00,-4.354574e+01,2.125632e-01,9.256222e+00,8.174306e+02,1.554529e-04,6.414114e-10
2.517851e-01,2.109828e-02,2.161082e-09,5.977356e-08,2.019160e-09,3.378014e+00,-4.223491e+01,1.016658e+00,4.293845e+01,2.035163e+03,2.562388e-04,6.414114e-10
2.718713e-01,3.880253e-02,7.309661e-09,8.297930e-08,6.814417e-09,8.212187e+00,-4.081030e+01,4.545537e+00,1.855048e+02,4.780737e+03,5.203424e-04,6.414114e-10
2.935599e-01,6.882835e-02,2.299916e-08,1.306479e-07,2.146558e-08,1.643010e+01,-3.883898e+01,1.613147e+01,6.265296e+02,9.102781e+03,1.131200e-03,6.414114e-10
3.169786e-01,1.163354e-01,6.570536e-08,2.314892e-07,6.147955e-08,2.655826e+01,-3.635469e+01,4.407353e+01,1.602279e+03,1.377293e+04,2.114045e-03,6.414114e-10
3.422657e-01,1.835635e-01,1.635875e-07,3.813662e-07,1.538883e-07,4.035185e+01,-3.418658e+01,1.056613e+02,3.612200e+03,1.967820e+04,3.426657e-03,6.414114e-10
3.695700e-01,2.684787e-01,3.499425e-07,5.461972e-07,3.312803e-07,6.065214e+01,-3.262651e+01,2.322855e+02,7.578665e+03,2.822818e+04,4.817414e-03,6.414114e-10
3.990525e-01,3.513412e-01,5.992875e-07,8.000336e-07,5.732237e-07,7.164995e+01,-3.096892e+01,3.590965e+02,1.112083e+04,3.165251e+04,5.887564e-03,6.414114e-10
4.308869e-01,4.151613e-01,8.367791e-07,8.918092e-07,8.089708e-07,9.071119e+01,-3.049728e+01,5.372099e+02,1.638344e+04,3.946283e+04,6.128463e-03,6.414114e-10
4.652610e-01,4.639511e-01,1.045012e-06,1.108839e-06,1.018800e-06,9.187990e+01,-2.955131e+01,6.080775e+02,1.796949e+04,3.873143e+04,5.454466e-03,6.414114e-10
5.023773e-01,5.058511e-01,1.242289e-06,1.364071e-06,1.218856e-06,8.935425e+01,-2.865163e+01,6.447690e+02,1.847368e+04,3.652000e+04,5.116020e-03,6.414114e-10
5.424545e-01,5.445801e-01,1.439795e-06,1.630633e-06,1.418124e-06,8.696766e+01,-2.787644e+01,6.755940e+02,1.883315e+04,3.458289e+04,6.256972e-03,6.414114e-10
5.857289e-01,5.822968e-01,1.646137e-06,2.131126e-06,1.621503e-06,7.608669e+01,-2.671391e+01,6.320032e+02,1.688328e+04,2.899428e+04,8.239860e-03,6.414114e-10
6.324555e-01,6.216001e-01,1.875855e-06,2.387589e-06,1.837226e-06,7.694900e+01,-2.622040e+01,6.823077e+02,1.789038e+04,2.878118e+04,1.230390e-02,6.414114e-10
6.829098e-01,6.606560e-01,2.118985e-06,3.312115e-06,2.062500e-06,6.227140e+01,-2.479895e+01,5.868543e+02,1.455337e+04,2.202866e+04,1.667462e-02,6.414114e-10
7.373890e-01,7.019844e-01,2.392390e-06,4.031039e-06,2.313343e-06,5.738825e+01,-2.394583e+01,5.746675e+02,1.376089e+04,1.960285e+04,2.144269e-02,6.414114e-10
7.962143e-01,7.449200e-01,2.693992e-06,4.749098e-06,2.588445e-06,5.450392e+01,-2.323389e+01,5.791667e+02,1.345629e+04,1.806408e+04,2.651650e-02,6.414114e-10
8.597325e-01,7.885799e-01,3.019038e-06,6.478025e-06,2.886713e-06,4.456162e+01,-2.188557e+01,5.012714e+02,1.097061e+04,1.391186e+04,3.137145e-02,6.414114e-10
9.283178e-01,8.343667e-01,3.379800e-06,8.347590e-06,3.222022e-06,3.859823e+01,-2.078439e+01,4.593995e+02,9.548338e+03,1.144382e+04,3.604167e-02,6.414114e-10
1.002374e+00,8.814587e-01,3.772081e-06,1.069297e-05,3.595860e-06,3.362826e+01,-1.970902e+01,4.228366e+02,8.333694e+03,9.454436e+03,3.983988e-02,6.414114e-10
1.082339e+00,9.291635e-01,4.191421e-06,1.427013e-05,4.009118e-06,2.809448e+01,-1.845572e+01,3.723740e+02,6.872431e+03,7.396363e+03,4.241244e-02,6.414114e-10
1.168683e+00,9.794555e-01,4.657431e-06,1.829395e-05,4.478534e-06,2.448096e+01,-1.737693e+01,3.420419e+02,5.943637e+03,6.068307e+03,4.436992e-02,6.414114e-10
1.261915e+00,1.037997e+00,5.230817e-06,2.385835e-05,4.999852e-06,2.095641e+01,-1.622360e+01,3.102982e+02,5.034154e+03,4.849872e+03,5.256377e-02,6.414114e-10
1.362584e+00,1.101380e+00,5.889131e-06,3.103219e-05,5.587732e-06,1.800624e+01,-1.508188e+01,2.828958e+02,4.266599e+03,3.873867e+03,6.216827e-02,6.414114e-10
1.471285e+00,1.168417e+00,6.627853e-06,3.971875e-05,6.248359e-06,1.573151e+01,-1.401004e+01,2.622011e+02,3.673450e+03,3.143954e+03,7.315036e-02,6.414114e-10
