gen,idx,total_index,WN,LN,WP,LP,MC,CF,RL,FREQ,AMPRF,TEMP,Area,VOUTMAX,POUT_AVG,PIN_AVG,PCE,PIDBM,DELTAVO,FOM1,FOM2,FOM3,cost
-1,0,0,1.94E-05,2.35E-07,9.83E-06,9.26E-07,5,5,330674,9.20E+08,0.5,27,1.53E-09,0.668233,1.33E-06,9.21E-06,14.4174,-20.3556,0.00767464,137.43,2797.47,4186.37,49819
-1,1,1,9.11E-07,6.00E-07,4.44E-06,9.51E-07,4,3,398626,9.20E+08,0.5,27,1.01E-09,0.718148,1.27E-06,2.11E-06,59.9677,-26.7528,0.00490793,614.324,16434.9,22885.1,6266.16
-1,2,2,6.12E-06,3.99E-07,7.46E-06,2.85E-07,8,4,403235,9.20E+08,0.5,27,1.61E-09,0.756667,1.40E-06,6.89E-06,20.3755,-21.615,0.0052523,219.928,4753.74,6282.47,41763.2
-1,3,3,1.83E-05,5.99E-07,1.54E-05,5.54E-07,6,2,310154,9.20E+08,0.5,27,1.04E-09,0.513656,8.36E-07,1.35E-06,61.7806,-28.6864,0.00190431,452.68,12985.8,25281.1,5391.39
-1,4,4,1.93E-06,5.89E-07,4.78E-06,2.14E-07,7,4,475983,9.20E+08,0.5,27,1.50E-09,0.79744,1.32E-06,4.62E-06,28.4522,-23.3498,0.00625299,323.653,7557.25,9476.88,31976.6
-1,5,5,1.84E-05,6.97E-07,1.23E-05,9.49E-07,3,4,440051,9.20E+08,0.5,27,1.15E-09,0.607898,8.27E-07,1.99E-06,41.6107,-27.0162,0.00707182,360.83,9748.27,16036,18826.3
-1,6,6,7.26E-06,3.33E-07,1.36E-05,7.01E-07,6,1,383999,9.20E+08,0.5,27,8.24E-10,0.462072,5.35E-07,7.67E-07,69.7745,-31.1531,0.00138011,459.91,14327.6,31007.3,2318.17
-1,7,7,3.56E-06,8.07E-07,1.15E-05,2.39E-07,4,2,268885,9.20E+08,0.5,27,8.11E-10,0.66377,1.61E-06,3.05E-06,52.765,-25.1544,0.00833705,499.608,12567.3,18933.3,10391
-1,8,8,1.51E-05,6.94E-07,3.25E-06,8.53E-07,3,2,432518,9.20E+08,0.5,27,7.26E-10,0.545534,6.71E-07,1.65E-06,40.7159,-27.8278,0.00232068,316.849,8817.21,16162.5,19610.8
-1,9,9,1.40E-05,2.28E-07,1.64E-05,6.78E-07,8,3,276943,9.20E+08,0.5,27,1.43E-09,0.606776,1.31E-06,3.96E-06,33.1117,-24.0263,0.00414953,286.6,6885.96,11348.4,26923.9
-1,10,10,1.67E-05,3.65E-07,8.74E-06,3.26E-07,5,1,408341,9.20E+08,0.5,27,7.18E-10,0.474454,5.40E-07,9.15E-07,58.9876,-30.3844,0.00124187,399.228,12130.3,25566.8,6766.48
-1,11,11,1.74E-05,2.79E-07,1.17E-05,1.98E-07,9,2,56309.4,9.20E+08,0.5,27,1.31E-09,0.569449,5.68E-06,8.47E-06,67.1205,-20.7223,0.00444696,545.226,11298.3,19840.8,3196.77
-1,12,12,3.66E-06,5.65E-07,1.26E-05,9.26E-07,3,4,367931,9.20E+08,0.5,27,1.13E-09,0.679811,1.23E-06,2.23E-06,55.101,-26.5144,0.0115176,534.335,14167.6,20840.5,8939.49
-1,13,13,4.84E-06,2.82E-07,1.21E-05,9.29E-07,3,3,264995,9.20E+08,0.5,27,9.25E-10,0.64325,1.54E-06,3.02E-06,51.006,-25.2064,0.00832395,468.023,11797.1,18339.9,11555.9
-1,14,14,1.75E-05,8.56E-07,1.77E-06,7.56E-07,2,3,441565,9.20E+08,0.5,27,8.33E-10,0.558929,6.93E-07,2.08E-06,33.3093,-26.8205,0.00232142,265.576,7122.87,12743.8,26719.2
-1,15,15,9.53E-06,6.56E-07,1.40E-05,4.50E-07,8,2,182299,9.20E+08,0.5,27,1.23E-09,0.567344,1.74E-06,2.44E-06,71.3333,-26.1234,0.00227582,577.305,15081.2,26582,1867.8
-1,16,16,1.20E-05,5.18E-07,9.20E-06,7.95E-07,9,1,333036,9.20E+08,0.5,27,1.13E-09,0.415706,4.76E-07,7.83E-07,60.7946,-31.0648,0.000989962,360.51,11199.2,26940.2,5859.08
-1,17,17,1.96E-05,8.63E-07,8.10E-06,3.45E-07,10,5,66367.7,9.20E+08,0.5,27,2.04E-09,0.621163,5.74E-06,8.89E-06,64.5489,-20.5091,0.00322869,571.953,11730.2,18884.3,4182.49
-1,18,18,3.22E-06,4.99E-07,1.29E-05,1.89E-07,4,4,359644,9.20E+08,0.5,27,1.21E-09,0.761956,1.56E-06,6.26E-06,24.972,-22.0311,0.0205919,271.425,5979.8,7847.96,36033.6
-1,19,19,5.65E-06,3.34E-07,1.21E-05,7.76E-07,8,2,37630.3,9.20E+08,0.5,27,1.22E-09,0.424789,4.67E-06,7.35E-06,63.6133,-21.3387,0.00420211,385.467,8225.38,19363.5,4573.95
-1,20,20,9.68E-06,6.37E-07,8.46E-06,2.28E-07,10,4,405778,9.20E+08,0.5,27,1.82E-09,0.721753,1.27E-06,5.64E-06,22.5353,-22.4894,0.00445607,232.016,5217.91,7229.5,39018.3
-1,21,21,1.71E-05,9.37E-07,9.61E-06,8.61E-07,8,4,25755.5,9.20E+08,0.5,27,1.65E-09,0.32961,4.11E-06,8.69E-06,47.2602,-20.6106,0.00454311,222.209,4579.88,13894.8,14243.1
-1,22,22,1.44E-05,8.68E-07,3.37E-06,8.79E-07,4,4,432977,9.20E+08,0.5,27,1.23E-09,0.640259,9.29E-07,2.96E-06,31.3875,-25.2881,0.0025292,286.667,7249.27,11322.4,28743.1
-1,23,23,9.10E-06,5.76E-07,1.17E-05,7.58E-07,7,2,221816,9.20E+08,0.5,27,1.13E-09,0.555084,1.36E-06,1.87E-06,72.931,-27.2859,0.00213505,577.48,15757.1,28386.8,1456.61
-1,24,24,9.09E-06,5.56E-07,1.00E-05,9.27E-07,2,5,484949,9.20E+08,0.5,27,1.23E-09,0.702647,9.94E-07,3.71E-06,26.8208,-24.3109,0.0154225,268.829,6535.46,9301.2,33848.2
-1,25,25,1.97E-05,7.96E-07,1.57E-05,8.67E-07,7,2,337617,9.20E+08,0.5,27,1.16E-09,0.461097,6.05E-07,9.00E-07,67.2043,-30.4583,0.00174654,442.033,13463.6,29199,3166.88
-1,26,26,8.88E-06,2.63E-07,1.42E-05,2.97E-07,10,4,497567,9.20E+08,0.5,27,1.81E-09,0.718276,1.03E-06,7.92E-06,12.9489,-21.0139,0.00601475,132.675,2788.03,3881.55,51913.6
-1,27,27,3.77E-06,6.97E-07,1.72E-05,6.79E-07,3,3,163558,9.20E+08,0.5,27,9.29E-10,0.609112,2.24E-06,2.75E-06,81.2519,-25.6013,0.00722288,705.987,18074.2,29673,140.483
-1,28,28,1.58E-05,6.77E-07,1.50E-05,3.65E-07,3,2,77125.2,9.20E+08,0.5,27,7.32E-10,0.498187,3.16E-06,3.99E-06,79.2023,-23.9916,0.00621421,562.855,13503.8,27105.8,336.132
-1,29,29,2.10E-06,2.87E-07,2.57E-06,2.36E-07,9,5,454451,9.20E+08,0.5,27,1.90E-09,0.817914,1.46E-06,6.11E-06,23.8075,-22.1385,0.00287535,277.772,6149.45,7518.46,37445.2
-1,30,30,1.13E-05,2.84E-07,1.17E-05,9.88E-07,4,2,72902.2,9.20E+08,0.5,27,8.30E-10,0.42405,2.39E-06,3.88E-06,61.6537,-24.1099,0.00601358,372.943,8991.63,21204.2,5450.54
-1,31,31,3.77E-06,2.82E-07,2.91E-06,4.55E-07,8,5,472395,9.20E+08,0.5,27,1.80E-09,0.792634,1.31E-06,7.39E-06,17.741,-21.3137,0.00220851,200.593,4275.37,5393.88,45237.8
-1,32,32,1.74E-05,5.22E-07,5.51E-06,7.16E-07,2,1,441118,9.20E+08,0.5,27,4.26E-10,0.403007,3.56E-07,6.13E-07,58.0825,-32.1255,0.00274172,333.905,10726.9,26617.1,7245.62
-1,33,33,2.22E-06,3.74E-07,8.28E-07,3.19E-07,5,1,127095,9.20E+08,0.5,27,7.02E-10,0.575321,2.54E-06,4.93E-06,51.4936,-23.0684,0.00213186,422.6,9748.7,16944.8,11226.8
-1,34,34,5.37E-06,1.85E-07,3.35E-06,8.41E-07,3,4,397798,9.20E+08,0.5,27,1.11E-09,0.744062,1.37E-06,9.04E-06,15.1716,-20.4379,0.00617718,161.03,3291.1,4423.16,48760.1
-1,35,35,7.55E-06,9.98E-07,1.84E-05,6.14E-07,3,1,433584,9.20E+08,0.5,27,5.38E-10,0.392172,3.40E-07,4.34E-07,78.1841,-33.6221,0.0025691,437.382,14705.7,37498.1,464.664
-1,36,36,1.76E-05,2.00E-07,1.63E-05,7.92E-07,6,1,206074,9.20E+08,0.5,27,8.33E-10,0.229155,2.36E-07,5.33E-07,44.2171,-32.7305,0.00107433,144.539,4730.84,20644.7,16633
-1,37,37,9.55E-06,2.36E-07,5.96E-06,6.33E-07,4,2,364003,9.20E+08,0.5,27,8.12E-10,0.640858,1.11E-06,4.12E-06,26.9847,-23.8519,0.00509778,246.687,5883.94,9181.34,33657.7
-1,38,38,1.36E-05,5.24E-07,1.92E-05,9.37E-07,5,1,367006,9.20E+08,0.5,27,7.50E-10,0.233806,1.32E-07,3.26E-07,40.5075,-34.8672,0.00151982,135.1,4710.57,20147.4,19796.4
-1,39,39,1.14E-05,8.60E-07,1.06E-05,9.36E-07,9,3,230779,9.20E+08,0.5,27,1.54E-09,0.577073,1.41E-06,2.35E-06,59.9366,-26.2871,0.00188452,493.389,12969.7,22475,6281.74
-1,40,40,1.90E-05,5.76E-07,6.64E-06,8.58E-07,6,1,290818,9.20E+08,0.5,27,8.33E-10,0.272106,2.33E-07,5.40E-07,43.146,-32.6791,0.00106684,167.473,5472.87,20113,17518
-1,41,41,1.90E-05,3.34E-07,1.95E-05,5.19E-07,4,2,483396,9.20E+08,0.5,27,8.33E-10,0.523747,5.60E-07,1.31E-06,42.6878,-28.8234,0.00329021,318.927,9192.55,17551.5,17903.3
-1,42,42,1.14E-05,6.31E-07,1.39E-05,3.72E-07,10,4,86883.1,9.20E+08,0.5,27,1.82E-09,0.653785,4.86E-06,7.93E-06,61.3314,-21.0072,0.00432386,571.985,12015.8,18378.8,5602.02
-1,43,43,8.23E-06,8.01E-07,1.78E-05,9.64E-07,7,3,439944,9.20E+08,0.5,27,1.35E-09,0.5762,7.40E-07,1.10E-06,67.4913,-29.6002,0.00331721,554.738,16420.4,28497.7,3065.53
-1,44,44,8.57E-06,8.73E-07,6.90E-06,4.78E-07,5,4,103242,9.20E+08,0.5,27,1.32E-09,0.661795,4.19E-06,6.57E-06,63.8078,-21.8276,0.00516635,602.37,13148.3,19867.6,4491.11
-1,45,45,1.68E-05,8.08E-07,1.54E-05,8.24E-07,10,4,107699,9.20E+08,0.5,27,1.85E-09,0.55931,2.85E-06,3.95E-06,72.2233,-24.0384,0.00248264,576.23,13851.7,24765.6,1632.44
-1,46,46,4.61E-06,9.92E-07,3.73E-06,8.13E-07,6,4,12858.2,9.20E+08,0.5,27,1.42E-09,0.190511,2.72E-06,1.21E-05,22.5224,-19.1785,0.00552856,61.207,1173.86,6161.63,39035.3
-1,47,47,1.04E-05,5.93E-07,3.67E-06,9.23E-07,4,1,432453,9.20E+08,0.5,27,6.19E-10,0.459316,4.64E-07,8.67E-07,53.5331,-30.6176,0.00149171,350.752,10739.2,23380.8,9901.67
-1,48,48,1.70E-05,5.52E-07,1.49E-05,3.95E-07,4,1,316266,9.20E+08,0.5,27,6.31E-10,0.385186,4.53E-07,6.55E-07,69.1663,-31.838,0.00169751,380.041,12099.8,31412.8,2507.18
-1,49,49,1.27E-05,7.63E-07,1.64E-05,5.60E-07,6,3,132073,9.20E+08,0.5,27,1.24E-09,0.573251,2.46E-06,3.34E-06,73.5615,-24.764,0.00391592,601.535,14896.4,25985.9,1308.4
0,0,50,1.37E-05,7.89E-07,1.71E-05,9.26E-07,10,3,10000,9.20E+08,0.5,27,1.65E-09,0.137411,1.81E-06,7.38E-06,24.584,-21.322,0.0043813,48.1881,1027.47,7477.33,36502
