cornerNo,VDD,proc,TEMP,WN,LN,WP,LP,MC,CF,RL,FREQ,AMPRF,Area,VOUTMAX,POUT_AVG,PIN_AVG,PCE,PIDBM,DELTAVO,FOM1,FOM2,FOM3
1,0,tt,-40,2.89e-06,3.48e-07,1.97e-05,1e-06,2,2,205979,9.2e+08,0.5,6.41411e-10,0.520397,1.28219e-06,1.46551e-06,87.491,-28.3401,0.00637997,649.478,18406.3,35369.7
2,0,tt,0.0,2.89e-06,3.48e-07,1.97e-05,1e-06,2,2,205979,9.2e+08,0.5,6.41411e-10,0.511506,1.2431e-06,1.35559e-06,91.702,-28.6787,0.00522307,669.108,19189.1,37515
3,0,tt,27.0,2.89e-06,3.48e-07,1.97e-05,1e-06,2,2,205979,9.2e+08,0.5,6.41411e-10,0.503464,1.20666e-06,1.31053e-06,92.0737,-28.8255,0.00520989,661.257,19061.1,37859.9
4,0,tt,70.0,2.89e-06,3.48e-07,1.97e-05,1e-06,2,2,205979,9.2e+08,0.5,6.41411e-10,0.489317,1.1423e-06,1.3591e-06,84.0483,-28.6675,0.00561922,586.659,16818,34370.4
5,0,tt,85,2.89e-06,3.48e-07,1.97e-05,1e-06,2,2,205979,9.2e+08,0.5,6.41411e-10,0.484094,1.11839e-06,1.32268e-06,84.5545,-28.7854,0.00589481,583.892,16807.6,34719.7
6,0,ss,-40,2.89e-06,3.48e-07,1.97e-05,1e-06,2,2,205979,9.2e+08,0.5,6.41411e-10,0.500862,1.17461e-06,1.32506e-06,88.6459,-28.7777,0.00817107,633.348,18226.3,36389.8
7,0,ss,0.0,2.89e-06,3.48e-07,1.97e-05,1e-06,2,2,205979,9.2e+08,0.5,6.41411e-10,0.503368,1.19318e-06,1.25603e-06,94.9955,-29.01,0.00718442,682.11,19788,39311.2
8,0,ss,27.0,2.89e-06,3.48e-07,1.97e-05,1e-06,2,2,205979,9.2e+08,0.5,6.41411e-10,0.498786,1.17517e-06,1.34977e-06,87.0645,-28.6974,0.00658243,619.472,17777.2,35641
9,0,ss,70.0,2.89e-06,3.48e-07,1.97e-05,1e-06,2,2,205979,9.2e+08,0.5,6.41411e-10,0.488392,1.13071e-06,1.24165e-06,91.0649,-29.06,0.00570903,634.434,18436.6,37749.7
10,0,ss,85,2.89e-06,3.48e-07,1.97e-05,1e-06,2,2,205979,9.2e+08,0.5,6.41411e-10,0.484145,1.1123e-06,1.27682e-06,87.1152,-28.9387,0.00575993,601.639,17410.7,35961.7
