metric_key,metric_label,extreme_type,value,promos,TEMP,VDD
Area,Area (um^2),MIN,641.411,tt,-40,0
Area,Area (um^2),MIN,641.411,tt,0,0
Area,Area (um^2),MIN,641.411,tt,27,0
Area,Area (um^2),MIN,641.411,tt,70,0
Area,Area (um^2),MIN,641.411,tt,85,0
Area,Area (um^2),MIN,641.411,ss,-40,0
Area,Area (um^2),MIN,641.411,ss,0,0
Area,Area (um^2),MIN,641.411,ss,27,0
Area,Area (um^2),MIN,641.411,ss,70,0
Area,Area (um^2),MIN,641.411,ss,85,0
Area,Area (um^2),MIN,641.411,ff,-40,0
Area,Area (um^2),MIN,641.411,ff,0,0
Area,Area (um^2),MIN,641.411,ff,27,0
Area,Area (um^2),MIN,641.411,ff,70,0
Area,Area (um^2),MIN,641.411,ff,85,0
Area,Area (um^2),MIN,641.411,sf,-40,0
Area,Area (um^2),MIN,641.411,sf,0,0
Area,Area (um^2),MIN,641.411,sf,27,0
Area,Area (um^2),MIN,641.411,sf,70,0
Area,Area (um^2),MIN,641.411,sf,85,0
Area,Area (um^2),MIN,641.411,fs,-40,0
Area,Area (um^2),MIN,641.411,fs,0,0
Area,Area (um^2),MIN,641.411,fs,27,0
Area,Area (um^2),MIN,641.411,fs,70,0
Area,Area (um^2),MIN,641.411,fs,85,0
Area,Area (um^2),MAX,641.411,tt,-40,0
Area,Area (um^2),MAX,641.411,tt,0,0
Area,Area (um^2),MAX,641.411,tt,27,0
Area,Area (um^2),MAX,641.411,tt,70,0
Area,Area (um^2),MAX,641.411,tt,85,0
Area,Area (um^2),MAX,641.411,ss,-40,0
Area,Area (um^2),MAX,641.411,ss,0,0
Area,Area (um^2),MAX,641.411,ss,27,0
Area,Area (um^2),MAX,641.411,ss,70,0
Area,Area (um^2),MAX,641.411,ss,85,0
Area,Area (um^2),MAX,641.411,ff,-40,0
Area,Area (um^2),MAX,641.411,ff,0,0
Area,Area (um^2),MAX,641.411,ff,27,0
Area,Area (um^2),MAX,641.411,ff,70,0
Area,Area (um^2),MAX,641.411,ff,85,0
Area,Area (um^2),MAX,641.411,sf,-40,0
Area,Area (um^2),MAX,641.411,sf,0,0
Area,Area (um^2),MAX,641.411,sf,27,0
Area,Area (um^2),MAX,641.411,sf,70,0
Area,Area (um^2),MAX,641.411,sf,85,0
Area,Area (um^2),MAX,641.411,fs,-40,0
Area,Area (um^2),MAX,641.411,fs,0,0
Area,Area (um^2),MAX,641.411,fs,27,0
Area,Area (um^2),MAX,641.411,fs,70,0
Area,Area (um^2),MAX,641.411,fs,85,0
VOUTMAX,VOUTMAX (V),MIN,0.471851,sf,85,0
VOUTMAX,VOUTMAX (V),MAX,0.52379,ff,-40,0
POUT_AVG,POUT_AVG (uW),MIN,1.06072,sf,85,0
POUT_AVG,POUT_AVG (uW),MAX,1.30845,ff,-40,0
PIN_AVG,PIN_AVG (uW),MIN,1.24165,ss,70,0
PIN_AVG,PIN_AVG (uW),MAX,1.54902,ff,85,0
PCE,PCE (%),MIN,70.6021,ff,85,0
PCE,PCE (%),MAX,95.655,ff,-40,0
PIDBM,PIDBM (dBm),MIN,-29.06,ss,70,0
PIDBM,PIDBM (dBm),MAX,-28.0994,ff,85,0
DELTAVO,DELTAVO (mV),MIN,4.18266,sf,-40,0
DELTAVO,DELTAVO (mV),MAX,8.17107,ss,-40,0
FOM1,FOM1,MIN,481.87,ff,85,0
FOM1,FOM1,MAX,714.712,ff,-40,0
FOM2,FOM2,MIN,13540.3,ff,85,0
FOM2,FOM2,MAX,20469,ff,-40,0
FOM3,FOM3,MIN,28299.7,ff,85,0
FOM3,FOM3,MAX,39311.2,ss,0,0
