freq_Hz,S11_dB
8.5e+08,-0.03396026
8.509901e+08,-0.03490066
8.519802e+08,-0.03588171
8.529703e+08,-0.03690582
8.539604e+08,-0.03797554
8.549505e+08,-0.03909363
8.559406e+08,-0.04026308
8.569307e+08,-0.04148709
8.579208e+08,-0.04276912
8.589109e+08,-0.04411291
8.59901e+08,-0.04552252
8.608911e+08,-0.04700231
8.618812e+08,-0.04855706
8.628713e+08,-0.05019192
8.638614e+08,-0.05191251
8.648515e+08,-0.05372496
8.658416e+08,-0.05563595
8.668317e+08,-0.05765275
8.678218e+08,-0.05978337
8.688119e+08,-0.06203654
8.69802e+08,-0.06442187
8.707921e+08,-0.06694992
8.717822e+08,-0.06963235
8.727723e+08,-0.07248198
8.737624e+08,-0.07551305
8.747525e+08,-0.07874131
8.757426e+08,-0.08218426
8.767327e+08,-0.0858614
8.777228e+08,-0.08979445
8.787129e+08,-0.09400775
8.79703e+08,-0.09852859
8.806931e+08,-0.1033876
8.816832e+08,-0.1086194
8.826733e+08,-0.1142631
8.836634e+08,-0.1203631
8.846535e+08,-0.1269697
8.856436e+08,-0.1341407
8.866337e+08,-0.1419421
8.876238e+08,-0.1504498
8.886139e+08,-0.1597514
8.89604e+08,-0.1699486
8.905941e+08,-0.1811596
8.915842e+08,-0.193523
8.925743e+08,-0.2072013
8.935644e+08,-0.2223867
8.945545e+08,-0.2393078
8.955446e+08,-0.2582374
8.965347e+08,-0.2795037
8.975248e+08,-0.3035044
8.985149e+08,-0.330724
8.99505e+08,-0.3617583
9.00495e+08,-0.3973452
9.014851e+08,-0.4384074
9.024752e+08,-0.4861096
9.034653e+08,-0.5419367
9.044554e+08,-0.6078041
9.054455e+08,-0.686212
9.064356e+08,-0.7804669
9.074257e+08,-0.8950051
9.084158e+08,-1.035871
9.094059e+08,-1.211441
9.10396e+08,-1.433535
9.113861e+08,-1.719171
9.123762e+08,-2.093393
9.133663e+08,-2.593969
9.143564e+08,-3.279494
9.153465e+08,-4.244241
9.163366e+08,-5.6482
9.173267e+08,-7.789762
9.183168e+08,-11.34459
9.193069e+08,-18.77508
9.20297e+08,-26.07747
9.212871e+08,-13.52596
9.222772e+08,-8.959173
9.232673e+08,-6.368265
9.242574e+08,-4.71476
9.252475e+08,-3.597713
9.262376e+08,-2.814432
9.272277e+08,-2.248974
9.282178e+08,-1.830546
9.292079e+08,-1.514114
9.30198e+08,-1.270143
9.311881e+08,-1.078757
9.321782e+08,-0.9262765
9.331683e+08,-0.8030906
9.341584e+08,-0.7023174
9.351485e+08,-0.618943
9.361386e+08,-0.5492556
9.371287e+08,-0.4904667
9.381188e+08,-0.4404524
9.391089e+08,-0.397575
9.40099e+08,-0.3605569
9.410891e+08,-0.3283907
9.420792e+08,-0.3002741
9.430693e+08,-0.2755624
9.440594e+08,-0.2537329
9.450495e+08,-0.2343589
9.460396e+08,-0.2170888
9.470297e+08,-0.2016314
9.480198e+08,-0.187744
9.490099e+08,-0.1752226
9.5e+08,-0.1638952
