freq_Hz,S11_dB
8.5e+08,-0.03101669
8.509901e+08,-0.03108297
8.519802e+08,-0.03114931
8.529703e+08,-0.0312157
8.539604e+08,-0.03128214
8.549505e+08,-0.03134863
8.559406e+08,-0.03141517
8.569307e+08,-0.03148176
8.579208e+08,-0.03154841
8.589109e+08,-0.03161511
8.59901e+08,-0.03168185
8.608911e+08,-0.03174865
8.618812e+08,-0.0318155
8.628713e+08,-0.0318824
8.638614e+08,-0.03194935
8.648515e+08,-0.03201635
8.658416e+08,-0.0320834
8.668317e+08,-0.0321505
8.678218e+08,-0.03221765
8.688119e+08,-0.03228485
8.69802e+08,-0.0323521
8.707921e+08,-0.0324194
8.717822e+08,-0.03248676
8.727723e+08,-0.03255416
8.737624e+08,-0.03262161
8.747525e+08,-0.03268911
8.757426e+08,-0.03275666
8.767327e+08,-0.03282426
8.777228e+08,-0.03289191
8.787129e+08,-0.03295961
8.79703e+08,-0.03302736
8.806931e+08,-0.03309516
8.816832e+08,-0.03316301
8.826733e+08,-0.03323091
8.836634e+08,-0.03329885
8.846535e+08,-0.03336685
8.856436e+08,-0.03343489
8.866337e+08,-0.03350299
8.876238e+08,-0.03357113
8.886139e+08,-0.03363932
8.89604e+08,-0.03370756
8.905941e+08,-0.03377585
8.915842e+08,-0.03384419
8.925743e+08,-0.03391257
8.935644e+08,-0.03398101
8.945545e+08,-0.03404949
8.955446e+08,-0.03411802
8.965347e+08,-0.0341866
8.975248e+08,-0.03425522
8.985149e+08,-0.0343239
8.99505e+08,-0.03439262
9.00495e+08,-0.03446139
9.014851e+08,-0.03453021
9.024752e+08,-0.03459907
9.034653e+08,-0.03466799
9.044554e+08,-0.03473695
9.054455e+08,-0.03480596
9.064356e+08,-0.03487501
9.074257e+08,-0.03494412
9.084158e+08,-0.03501327
9.094059e+08,-0.03508247
9.10396e+08,-0.03515171
9.113861e+08,-0.035221
9.123762e+08,-0.03529034
9.133663e+08,-0.03535973
9.143564e+08,-0.03542916
9.153465e+08,-0.03549864
9.163366e+08,-0.03556817
9.173267e+08,-0.03563774
9.183168e+08,-0.03570736
9.193069e+08,-0.03577702
9.20297e+08,-0.03584674
9.212871e+08,-0.03591649
9.222772e+08,-0.0359863
9.232673e+08,-0.03605615
9.242574e+08,-0.03612605
9.252475e+08,-0.03619599
9.262376e+08,-0.03626598
9.272277e+08,-0.03633601
9.282178e+08,-0.03640609
9.292079e+08,-0.03647622
9.30198e+08,-0.03654639
9.311881e+08,-0.03661661
9.321782e+08,-0.03668687
9.331683e+08,-0.03675718
9.341584e+08,-0.03682753
9.351485e+08,-0.03689793
9.361386e+08,-0.03696838
9.371287e+08,-0.03703886
9.381188e+08,-0.0371094
9.391089e+08,-0.03717998
9.40099e+08,-0.0372506
9.410891e+08,-0.03732127
9.420792e+08,-0.03739198
9.430693e+08,-0.03746274
9.440594e+08,-0.03753355
9.450495e+08,-0.03760439
9.460396e+08,-0.03767528
9.470297e+08,-0.03774622
9.480198e+08,-0.0378172
9.490099e+08,-0.03788823
9.5e+08,-0.03795929
