AMPRF,vomax,po,pinavr,poavr,PCEPer,pidbm,FOM1,FOM2,FOM3,DeltaVo,Area
2.000000e-01,3.875042e-03,7.388395e-11,3.048673e-08,5.679465e-11,1.862930e-01,-4.515889e+01,1.029768e-02,4.650317e-01,1.200069e+02,4.148077e-04,8.413055e-10
2.500000e-01,2.201441e-02,2.384576e-09,6.642543e-08,2.046675e-09,3.081161e+00,-4.177666e+01,9.675818e-01,4.042233e+01,1.836176e+03,6.956608e-04,8.413055e-10
3.000000e-01,8.467204e-02,3.527584e-08,1.454985e-07,3.224057e-08,2.215870e+01,-3.837142e+01,2.676397e+01,1.026972e+03,1.212881e+04,5.862322e-04,8.413055e-10
3.500000e-01,2.075813e-01,2.120184e-07,4.350235e-07,1.975905e-07,4.542065e+01,-3.361487e+01,1.344955e+02,4.521048e+03,2.177966e+04,1.815823e-03,8.413055e-10
4.000000e-01,3.497553e-01,6.019021e-07,8.220826e-07,5.721562e-07,6.959839e+01,-3.085085e+01,3.472400e+02,1.071265e+04,3.062898e+04,3.258591e-03,8.413055e-10
4.500000e-01,4.416019e-01,9.595311e-07,1.068066e-06,9.297740e-07,8.705212e+01,-2.971402e+01,5.483736e+02,1.629438e+04,3.689835e+04,3.452383e-03,8.413055e-10
5.000000e-01,5.005207e-01,1.232654e-06,1.330535e-06,1.206870e-06,9.070558e+01,-2.875974e+01,6.476231e+02,1.862547e+04,3.721218e+04,3.096202e-03,8.413055e-10
5.500000e-01,5.477825e-01,1.476433e-06,1.766509e-06,1.453816e-06,8.229878e+01,-2.752884e+01,6.430842e+02,1.770336e+04,3.231823e+04,3.742430e-03,8.413055e-10
6.000000e-01,5.893036e-01,1.708738e-06,2.397754e-06,1.685836e-06,7.030896e+01,-2.620195e+01,5.910388e+02,1.548637e+04,2.627911e+04,5.267495e-03,8.413055e-10
6.500000e-01,6.283845e-01,1.942890e-06,3.099547e-06,1.913145e-06,6.172339e+01,-2.508702e+01,5.532755e+02,1.388003e+04,2.208844e+04,7.594830e-03,8.413055e-10
7.000000e-01,6.655245e-01,2.179341e-06,3.977319e-06,2.140566e-06,5.381932e+01,-2.400410e+01,5.109383e+02,1.226461e+04,1.842849e+04,1.003839e-02,8.413055e-10
7.500000e-01,7.012536e-01,2.419621e-06,4.643715e-06,2.370028e-06,5.103734e+01,-2.333134e+01,5.105395e+02,1.191157e+04,1.698611e+04,1.255171e-02,8.413055e-10
8.000000e-01,7.358081e-01,2.663952e-06,5.813675e-06,2.602354e-06,4.476263e+01,-2.235549e+01,4.698361e+02,1.050342e+04,1.427467e+04,1.525204e-02,8.413055e-10
8.500000e-01,7.692913e-01,2.911916e-06,7.137604e-06,2.838763e-06,3.977193e+01,-2.146448e+01,4.364492e+02,9.368153e+03,1.217764e+04,1.746638e-02,8.413055e-10
9.000000e-01,8.021888e-01,3.166288e-06,8.599928e-06,3.081173e-06,3.582789e+01,-2.065505e+01,4.099813e+02,8.468184e+03,1.055635e+04,1.981778e-02,8.413055e-10
9.500000e-01,8.345748e-01,3.427108e-06,1.031299e-05,3.330872e-06,3.229782e+01,-1.986615e+01,3.845074e+02,7.638682e+03,9.152783e+03,2.195156e-02,8.413055e-10
1.000000e+00,8.652018e-01,3.683257e-06,1.279019e-05,3.578795e-06,2.798079e+01,-1.893123e+01,3.453373e+02,6.537661e+03,7.556227e+03,2.381035e-02,8.413055e-10
1.050000e+00,8.959746e-01,3.949923e-06,1.491015e-05,3.838978e-06,2.574742e+01,-1.826518e+01,3.290755e+02,6.010624e+03,6.708476e+03,2.542214e-02,8.413055e-10
1.100000e+00,9.259685e-01,4.218807e-06,1.739759e-05,4.102280e-06,2.357958e+01,-1.759511e+01,3.114573e+02,5.480125e+03,5.918263e+03,2.712640e-02,8.413055e-10
1.150000e+00,9.549623e-01,4.487141e-06,2.029442e-05,4.371608e-06,2.154094e+01,-1.692623e+01,2.934385e+02,4.966808e+03,5.201052e+03,2.784758e-02,8.413055e-10
1.200000e+00,9.858306e-01,4.781914e-06,2.322285e-05,4.648166e-06,2.001549e+01,-1.634085e+01,2.814716e+02,4.599485e+03,4.665594e+03,3.079798e-02,8.413055e-10
1.250000e+00,1.016378e+00,5.082856e-06,2.678597e-05,4.928772e-06,1.840058e+01,-1.572093e+01,2.667798e+02,4.194026e+03,4.126442e+03,3.389293e-02,8.413055e-10
1.300000e+00,1.046782e+00,5.391499e-06,3.012029e-05,5.219097e-06,1.732751e+01,-1.521141e+01,2.587370e+02,3.935754e+03,3.759861e+03,3.662499e-02,8.413055e-10
1.350000e+00,1.075930e+00,5.695940e-06,3.507472e-05,5.502205e-06,1.568709e+01,-1.455006e+01,2.407647e+02,3.503140e+03,3.255918e+03,3.991395e-02,8.413055e-10
1.400000e+00,1.106389e+00,6.023001e-06,3.911311e-05,5.802690e-06,1.483566e+01,-1.407678e+01,2.341429e+02,3.295978e+03,2.979041e+03,4.364962e-02,8.413055e-10
1.450000e+00,1.135843e+00,6.347950e-06,4.374290e-05,6.104774e-06,1.395604e+01,-1.359092e+01,2.261239e+02,3.073233e+03,2.705686e+03,4.669738e-02,8.413055e-10
1.500000e+00,1.165379e+00,6.682385e-06,4.872989e-05,6.411813e-06,1.315787e+01,-1.312205e+01,2.187353e+02,2.870254e+03,2.462937e+03,5.028378e-02,8.413055e-10
