gen,idx,total_index,WN,LN,WP,LP,MC,CF,RL,FREQ,AMPRF,TEMP,Area,VOUTMAX,POUT_AVG,PIN_AVG,PCE,PIDBM,DELTAVO,FOM1,FOM2,FOM3,cost
-1,0,0,1.93774e-05,2.34719e-07,9.82648e-06,9.25818e-07,5,5,330674,9.2e+08,0.5,27,1.52729e-09,0.668233,1.3284e-06,9.21387e-06,14.4174,-20.3556,0.00767464,137.43,2797.47,4186.37,49819
-1,1,1,9.1087e-07,6.00008e-07,4.43937e-06,9.50781e-07,4,3,398626,9.2e+08,0.5,27,1.00953e-09,0.718148,1.26659e-06,2.11213e-06,59.9677,-26.7528,0.00490793,614.324,16434.9,22885.1,6266.16
-1,2,2,6.11992e-06,3.99069e-07,7.45804e-06,2.85266e-07,8,4,403235,9.2e+08,0.5,27,1.60914e-09,0.756667,1.40479e-06,6.89447e-06,20.3755,-21.615,0.0052523,219.928,4753.74,6282.47,41763.2
-1,3,3,1.8347e-05,5.99333e-07,1.53601e-05,5.54233e-07,6,2,310154,9.2e+08,0.5,27,1.03902e-09,0.513656,8.36004e-07,1.35318e-06,61.7806,-28.6864,0.00190431,452.68,12985.8,25281.1,5391.39
-1,4,4,1.93093e-06,5.88512e-07,4.78196e-06,2.13991e-07,7,4,475983,9.2e+08,0.5,27,1.50432e-09,0.79744,1.31563e-06,4.62399e-06,28.4522,-23.3498,0.00625299,323.653,7557.25,9476.88,31976.6
-1,5,5,1.83739e-05,6.9693e-07,1.23057e-05,9.48896e-07,3,4,440051,9.2e+08,0.5,27,1.14896e-09,0.607898,8.27143e-07,1.98781e-06,41.6107,-27.0162,0.00707182,360.83,9748.27,16036,18826.3
-1,6,6,7.26044e-06,3.32741e-07,1.358e-05,7.0061e-07,6,1,383999,9.2e+08,0.5,27,8.2386e-10,0.462072,5.35042e-07,7.66816e-07,69.7745,-31.1531,0.00138011,459.91,14327.6,31007.3,2318.17
-1,7,7,3.55613e-06,8.07305e-07,1.15328e-05,2.39003e-07,4,2,268885,9.2e+08,0.5,27,8.11255e-10,0.66377,1.6103e-06,3.05184e-06,52.765,-25.1544,0.00833705,499.608,12567.3,18933.3,10391
-1,8,8,1.50753e-05,6.94462e-07,3.24748e-06,8.53081e-07,3,2,432518,9.2e+08,0.5,27,7.26479e-10,0.545534,6.71406e-07,1.649e-06,40.7159,-27.8278,0.00232068,316.849,8817.21,16162.5,19610.8
-1,9,9,1.39646e-05,2.27849e-07,1.63587e-05,6.77824e-07,8,3,276943,9.2e+08,0.5,27,1.42854e-09,0.606776,1.31024e-06,3.95701e-06,33.1117,-24.0263,0.00414953,286.6,6885.96,11348.4,26923.9
-1,10,10,1.67116e-05,3.65428e-07,8.73751e-06,3.26002e-07,5,1,408341,9.2e+08,0.5,27,7.17911e-10,0.474454,5.39912e-07,9.15299e-07,58.9876,-30.3844,0.00124187,399.228,12130.3,25566.8,6766.48
-1,11,11,1.73837e-05,2.79055e-07,1.1736e-05,1.98494e-07,9,2,56309.4,9.2e+08,0.5,27,1.31436e-09,0.569449,5.68362e-06,8.46778e-06,67.1205,-20.7223,0.00444696,545.226,11298.3,19840.8,3196.77
