cornerNo,VDD,proc,TEMP,WN,LN,WP,LP,MC,CF,RL,FREQ,AMPRF,Area,VOUTMAX,POUT_AVG,PIN_AVG,PCE,PIDBM,DELTAVO,FOM1,FOM2,FOM3
1,0,tt,-40,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.514646,1.26684e-06,1.52756e-06,82.9326,-28.16,0.00377674,608.836,17144.8,33313.8
2,0,tt,0.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.507622,1.23838e-06,1.43056e-06,86.5657,-28.4449,0.00317896,626.835,17830.3,35125
3,0,tt,27.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.500521,1.20687e-06,1.33054e-06,90.7056,-28.7597,0.0030962,647.623,18625.5,37212.2
4,0,tt,70.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.487342,1.14653e-06,1.43352e-06,79.9799,-28.436,0.00362088,556.007,15810.6,32442.5
5,0,tt,85,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.482347,1.1238e-06,1.44918e-06,77.5471,-28.3888,0.00374772,533.57,15147.4,31403.5
6,0,ss,-40,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.49349,1.15074e-06,1.44398e-06,79.692,-28.4044,0.00461472,560.996,15934.7,32289.9
7,0,ss,0.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.500409,1.19313e-06,1.47292e-06,81.0039,-28.3182,0.0042039,578.225,16374.3,32721.8
8,0,ss,27.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.497792,1.18521e-06,1.38981e-06,85.2786,-28.5705,0.00383181,605.555,17301,34755.5
9,0,ss,70.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.488671,1.14669e-06,1.29448e-06,88.5827,-28.879,0.00339734,617.493,17832.6,36492
10,0,ss,85,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.484735,1.12939e-06,1.3438e-06,84.0445,-28.7166,0.00353779,581.139,16688.4,34427.8
11,0,ff,-40,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.518568,1.29671e-06,1.53421e-06,84.5198,-28.1412,0.00268809,625.217,17594.3,33928.6
12,0,ff,0.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.506101,1.2387e-06,1.45041e-06,85.4036,-28.3851,0.00294432,616.566,17501.3,34580.6
13,0,ff,27.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.49659,1.19427e-06,1.55973e-06,76.5691,-28.0695,0.00323176,542.397,15224.8,30658.8
14,0,ff,70.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.481202,1.12211e-06,1.5776e-06,71.1279,-28.02,0.00383255,488.241,13680.5,28429.9
15,0,ff,85,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.475795,1.09736e-06,1.55648e-06,70.5029,-28.0786,0.00386737,478.512,13435.9,28238.9
16,0,sf,-40,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.518274,1.29045e-06,1.46497e-06,88.0866,-28.3417,0.0027537,651.232,18457,35612.5
17,0,sf,0.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.50756,1.24224e-06,1.36813e-06,90.7988,-28.6387,0.00297495,657.407,18827.3,37093.7
18,0,sf,27.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.498969,1.20239e-06,1.40046e-06,85.857,-28.5373,0.00321853,611.105,17439.3,34950.6
19,0,sf,70.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.484402,1.1341e-06,1.4414e-06,78.6805,-28.4122,0.00384661,543.675,15447,31888.8
20,0,sf,85,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.479477,1.11207e-06,1.29283e-06,86.0178,-28.8846,0.00381844,588.332,16993.7,35442.2
21,0,fs,-40,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.493383,1.15399e-06,1.44937e-06,79.62,-28.3882,0.0044308,560.367,15907.8,32242.3
22,0,fs,0.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.498034,1.18493e-06,1.59216e-06,74.4231,-27.9801,0.00396569,528.729,14793.9,29704.6
23,0,fs,27.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.494774,1.17354e-06,1.54032e-06,76.1882,-28.1239,0.00361058,537.726,15122.9,30565.4
24,0,fs,70.0,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.485707,1.13497e-06,1.23259e-06,92.0803,-29.0918,0.00340247,637.98,18560,38212.4
25,0,fs,85,7.61e-06,7.14e-07,1.64e-05,9.28e-07,4,2,203237,9.2e+08,0.5,8.41305e-10,0.481109,1.11438e-06,1.48567e-06,75.0083,-28.2808,0.00369585,514.777,14558.3,30259.9
