freq_Hz,S11_dB
8.5e+08,-0.03401275
8.509901e+08,-0.03495459
8.519802e+08,-0.03593716
8.529703e+08,-0.03696283
8.539604e+08,-0.0380342
8.549505e+08,-0.03915401
8.559406e+08,-0.04032526
8.569307e+08,-0.04155115
8.579208e+08,-0.04283515
8.589109e+08,-0.04418101
8.59901e+08,-0.04559277
8.608911e+08,-0.04707484
8.618812e+08,-0.04863197
8.628713e+08,-0.05026934
8.638614e+08,-0.05199257
8.648515e+08,-0.0538078
8.658416e+08,-0.05572171
8.668317e+08,-0.0577416
8.678218e+08,-0.05987548
8.688119e+08,-0.06213209
8.69802e+08,-0.06452107
8.707921e+08,-0.06705298
8.717822e+08,-0.0697395
8.727723e+08,-0.07259348
8.737624e+08,-0.07562917
8.747525e+08,-0.07886235
8.757426e+08,-0.08231054
8.767327e+08,-0.08599327
8.777228e+08,-0.0899323
8.787129e+08,-0.094152
8.79703e+08,-0.09867968
8.806931e+08,-0.1035461
8.816832e+08,-0.1087858
8.826733e+08,-0.114438
8.836634e+08,-0.1205472
8.846535e+08,-0.1271638
8.856436e+08,-0.1343456
8.866337e+08,-0.1421587
8.876238e+08,-0.1506791
8.886139e+08,-0.1599946
8.89604e+08,-0.170207
8.905941e+08,-0.1814347
8.915842e+08,-0.1938164
8.925743e+08,-0.2075149
8.935644e+08,-0.2227228
8.945545e+08,-0.2396687
8.955446e+08,-0.2586259
8.965347e+08,-0.2799232
8.975248e+08,-0.3039586
8.985149e+08,-0.3312174
8.99505e+08,-0.362296
9.00495e+08,-0.3979334
9.014851e+08,-0.4390533
9.024752e+08,-0.4868217
9.034653e+08,-0.5427255
9.044554e+08,-0.6086821
9.054455e+08,-0.6871943
9.064356e+08,-0.7815722
9.074257e+08,-0.8962562
9.084158e+08,-1.037296
9.094059e+08,-1.213075
9.10396e+08,-1.435421
9.113861e+08,-1.721363
9.123762e+08,-2.095956
9.133663e+08,-2.596978
9.143564e+08,-3.283037
9.153465e+08,-4.2484
9.163366e+08,-5.653038
9.173267e+08,-7.795276
9.183168e+08,-11.35065
9.193069e+08,-18.78124
9.20297e+08,-26.08534
9.212871e+08,-13.53266
9.222772e+08,-8.965189
9.232673e+08,-6.373532
9.242574e+08,-4.71928
9.252475e+08,-3.601548
9.262376e+08,-2.817675
9.272277e+08,-2.251719
9.282178e+08,-1.83288
9.292079e+08,-1.516111
9.30198e+08,-1.271862
9.311881e+08,-1.080247
9.321782e+08,-0.9275777
9.331683e+08,-0.804234
9.341584e+08,-0.7033284
9.351485e+08,-0.6198421
9.361386e+08,-0.5500597
9.371287e+08,-0.4911893
9.381188e+08,-0.4411049
9.391089e+08,-0.3981668
9.40099e+08,-0.3610958
9.410891e+08,-0.3288833
9.420792e+08,-0.3007259
9.430693e+08,-0.2759781
9.440594e+08,-0.2541167
9.450495e+08,-0.234714
9.460396e+08,-0.2174184
9.470297e+08,-0.2019381
9.480198e+08,-0.18803
9.490099e+08,-0.1754899
9.5e+08,-0.1641456
