freq_Hz,S11_dB
8.5e+08,-0.03106058
8.509901e+08,-0.03112696
8.519802e+08,-0.03119338
8.529703e+08,-0.03125986
8.539604e+08,-0.03132639
8.549505e+08,-0.03139297
8.559406e+08,-0.0314596
8.569307e+08,-0.03152629
8.579208e+08,-0.03159302
8.589109e+08,-0.03165981
8.59901e+08,-0.03172664
8.608911e+08,-0.03179353
8.618812e+08,-0.03186047
8.628713e+08,-0.03192746
8.638614e+08,-0.0319945
8.648515e+08,-0.03206159
8.658416e+08,-0.03212873
8.668317e+08,-0.03219592
8.678218e+08,-0.03226316
8.688119e+08,-0.03233045
8.69802e+08,-0.03239779
8.707921e+08,-0.03246518
8.717822e+08,-0.03253263
8.727723e+08,-0.03260012
8.737624e+08,-0.03266766
8.747525e+08,-0.03273525
8.757426e+08,-0.03280289
8.767327e+08,-0.03287058
8.777228e+08,-0.03293833
8.787129e+08,-0.03300612
8.79703e+08,-0.03307396
8.806931e+08,-0.03314185
8.816832e+08,-0.03320978
8.826733e+08,-0.03327777
8.836634e+08,-0.03334581
8.846535e+08,-0.0334139
8.856436e+08,-0.03348203
8.866337e+08,-0.03355021
8.876238e+08,-0.03361845
8.886139e+08,-0.03368673
8.89604e+08,-0.03375506
8.905941e+08,-0.03382344
8.915842e+08,-0.03389187
8.925743e+08,-0.03396034
8.935644e+08,-0.03402887
8.945545e+08,-0.03409744
8.955446e+08,-0.03416606
8.965347e+08,-0.03423473
8.975248e+08,-0.03430345
8.985149e+08,-0.03437222
8.99505e+08,-0.03444103
9.00495e+08,-0.03450989
9.014851e+08,-0.0345788
9.024752e+08,-0.03464776
9.034653e+08,-0.03471677
9.044554e+08,-0.03478582
9.054455e+08,-0.03485492
9.064356e+08,-0.03492407
9.074257e+08,-0.03499326
9.084158e+08,-0.0350625
9.094059e+08,-0.03513179
9.10396e+08,-0.03520113
9.113861e+08,-0.03527051
9.123762e+08,-0.03533995
9.133663e+08,-0.03540942
9.143564e+08,-0.03547895
9.153465e+08,-0.03554852
9.163366e+08,-0.03561814
9.173267e+08,-0.0356878
9.183168e+08,-0.03575751
9.193069e+08,-0.03582727
9.20297e+08,-0.03589708
9.212871e+08,-0.03596693
9.222772e+08,-0.03603683
9.232673e+08,-0.03610677
9.242574e+08,-0.03617676
9.252475e+08,-0.03624679
9.262376e+08,-0.03631687
9.272277e+08,-0.036387
9.282178e+08,-0.03645717
9.292079e+08,-0.03652739
9.30198e+08,-0.03659766
9.311881e+08,-0.03666797
9.321782e+08,-0.03673832
9.331683e+08,-0.03680872
9.341584e+08,-0.03687917
9.351485e+08,-0.03694966
9.361386e+08,-0.0370202
9.371287e+08,-0.03709078
9.381188e+08,-0.03716141
9.391089e+08,-0.03723208
9.40099e+08,-0.0373028
9.410891e+08,-0.03737356
9.420792e+08,-0.03744437
9.430693e+08,-0.03751522
9.440594e+08,-0.03758611
9.450495e+08,-0.03765705
9.460396e+08,-0.03772804
9.470297e+08,-0.03779907
9.480198e+08,-0.03787014
9.490099e+08,-0.03794126
9.5e+08,-0.03801242
