AMPRF,vomax,po,pinavr,poavr,PCEPer,pidbm,FOM1,FOM2,FOM3,DeltaVo,Area
2.000000e-01,4.604206e-03,9.504103e-11,2.568038e-08,8.499490e-11,3.309722e-01,-4.590399e+01,2.173764e-02,9.978445e-01,2.167246e+02,3.390197e-04,6.340335e-10
2.500000e-01,2.626433e-02,3.092676e-09,5.709182e-08,2.737079e-09,4.794170e+00,-4.243426e+01,1.796164e+00,7.621890e+01,2.901993e+03,1.080697e-03,6.340335e-10
3.000000e-01,9.871077e-02,4.368484e-08,1.829423e-07,4.072534e-08,2.226130e+01,-3.737686e+01,3.134594e+01,1.171613e+03,1.186915e+04,2.367507e-03,6.340335e-10
3.500000e-01,2.364611e-01,2.506809e-07,4.666327e-07,2.358289e-07,5.053843e+01,-3.331025e+01,1.704699e+02,5.678396e+03,2.401408e+04,4.375115e-03,6.340335e-10
4.000000e-01,3.737976e-01,6.264329e-07,7.626987e-07,6.002645e-07,7.870271e+01,-3.117647e+01,4.196550e+02,1.308336e+04,3.500119e+04,5.326112e-03,6.340335e-10
4.500000e-01,4.602760e-01,9.498134e-07,1.100288e-06,9.246242e-07,8.403477e+01,-2.958494e+01,5.517516e+02,1.632354e+04,3.546467e+04,4.401200e-03,6.340335e-10
5.000000e-01,5.224534e-01,1.223761e-06,1.265229e-06,1.201815e-06,9.498799e+01,-2.897831e+01,7.079172e+02,2.051424e+04,3.926521e+04,5.187703e-03,6.340335e-10
5.500000e-01,5.740489e-01,1.477405e-06,1.832311e-06,1.452394e-06,7.926567e+01,-2.737001e+01,6.490831e+02,1.776541e+04,3.094755e+04,7.644611e-03,6.340335e-10
6.000000e-01,6.214029e-01,1.731204e-06,2.277055e-06,1.693234e-06,7.436069e+01,-2.642626e+01,6.591480e+02,1.741882e+04,2.803144e+04,1.180926e-02,6.340335e-10
6.500000e-01,6.654586e-01,1.985381e-06,2.774245e-06,1.931252e-06,6.961360e+01,-2.556855e+01,6.608173e+02,1.689614e+04,2.539022e+04,1.597111e-02,6.340335e-10
7.000000e-01,7.077133e-01,2.245517e-06,3.158958e-06,2.172326e-06,6.876718e+01,-2.500456e+01,6.942322e+02,1.735897e+04,2.452826e+04,2.011076e-02,6.340335e-10
7.500000e-01,7.481003e-01,2.509120e-06,3.936757e-06,2.415350e-06,6.135381e+01,-2.404861e+01,6.547380e+02,1.574554e+04,2.104737e+04,2.413586e-02,6.340335e-10
8.000000e-01,7.870128e-01,2.776932e-06,4.822654e-06,2.663312e-06,5.522504e+01,-2.316714e+01,6.199891e+02,1.436337e+04,1.825049e+04,2.799204e-02,6.340335e-10
8.500000e-01,8.241164e-01,3.044941e-06,6.034020e-06,2.914351e-06,4.829867e+01,-2.219393e+01,5.677929e+02,1.260156e+04,1.529099e+04,3.117158e-02,6.340335e-10
9.000000e-01,8.601535e-01,3.317062e-06,7.475172e-06,3.172513e-06,4.244067e+01,-2.126379e+01,5.207442e+02,1.107299e+04,1.287328e+04,3.375092e-02,6.340335e-10
9.500000e-01,8.956106e-01,3.596169e-06,8.732365e-06,3.442351e-06,3.942061e+01,-2.058868e+01,5.036267e+02,1.036901e+04,1.157759e+04,3.572877e-02,6.340335e-10
1.000000e+00,9.301514e-01,3.878903e-06,1.009128e-05,3.719493e-06,3.685849e+01,-1.996054e+01,4.890547e+02,9.761796e+03,1.049485e+04,3.735537e-02,6.340335e-10
1.050000e+00,9.636603e-01,4.163414e-06,1.185865e-05,4.002430e-06,3.375114e+01,-1.925965e+01,4.639580e+02,8.935668e+03,9.272633e+03,3.859735e-02,6.340335e-10
1.100000e+00,9.964067e-01,4.451178e-06,1.364507e-05,4.294183e-06,3.147059e+01,-1.865024e+01,4.473091e+02,8.342424e+03,8.372509e+03,3.915229e-02,6.340335e-10
1.150000e+00,1.029014e+00,4.747277e-06,1.585575e-05,4.590402e-06,2.895102e+01,-1.799813e+01,4.249634e+02,7.648548e+03,7.432887e+03,4.022271e-02,6.340335e-10
1.200000e+00,1.064239e+00,5.077852e-06,1.813067e-05,4.897069e-06,2.700987e+01,-1.741586e+01,4.100416e+02,7.141227e+03,6.710172e+03,4.387767e-02,6.340335e-10
1.250000e+00,1.098470e+00,5.409760e-06,2.131853e-05,5.201716e-06,2.439998e+01,-1.671243e+01,3.823349e+02,6.389744e+03,5.816949e+03,4.818822e-02,6.340335e-10
1.300000e+00,1.132927e+00,5.754468e-06,2.369302e-05,5.524200e-06,2.331573e+01,-1.625380e+01,3.768053e+02,6.124517e+03,5.405926e+03,5.165806e-02,6.340335e-10
1.350000e+00,1.168299e+00,6.119416e-06,2.652972e-05,5.853219e-06,2.206288e+01,-1.576267e+01,3.676906e+02,5.795787e+03,4.960874e+03,5.654328e-02,6.340335e-10
1.400000e+00,1.202267e+00,6.480429e-06,2.992541e-05,6.185207e-06,2.066874e+01,-1.523960e+01,3.544715e+02,5.402003e+03,4.493180e+03,6.051251e-02,6.340335e-10
1.450000e+00,1.236968e+00,6.859914e-06,3.384212e-05,6.526144e-06,1.928409e+01,-1.470542e+01,3.402702e+02,5.003817e+03,4.045228e+03,6.464629e-02,6.340335e-10
1.500000e+00,1.270419e+00,7.235948e-06,3.760669e-05,6.873578e-06,1.827754e+01,-1.424735e+01,3.312309e+02,4.719163e+03,3.714651e+03,6.923076e-02,6.340335e-10
