cornerNo,VDD,proc,TEMP,WN,LN,WP,LP,MC,CF,RL,FREQ,AMPRF,Area,VOUTMAX,POUT_AVG,PIN_AVG,PCE,PIDBM,DELTAVO,FOM1,FOM2,FOM3
1,0,tt,-40,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.545048,1.30431e-06,1.40386e-06,92.9092,-28.5268,0.00433197,722.37,20606.9,37807.5
2,0,tt,0.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.531839,1.24451e-06,1.37919e-06,90.2345,-28.6037,0.00484186,684.571,19581.3,36818.1
3,0,tt,27.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.522453,1.20182e-06,1.26523e-06,94.988,-28.9783,0.0051877,707.917,20514.2,39265.2
4,0,tt,70.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.506487,1.13009e-06,1.39616e-06,80.9425,-28.5506,0.00597808,584.805,16696.6,32965.4
5,0,tt,85,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.500847,1.10482e-06,1.41619e-06,78.0139,-28.4888,0.00629665,557.37,15878.8,31703.9
6,0,ss,-40,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.533166,1.23703e-06,1.37042e-06,90.2666,-28.6315,0.00657693,686.524,19656.2,36866.9
7,0,ss,0.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.525823,1.20798e-06,1.2601e-06,95.8638,-28.996,0.0052283,719.052,20849.6,39651.4
8,0,ss,27.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.518635,1.17684e-06,1.30228e-06,90.368,-28.853,0.00502752,668.563,19290,37193.9
9,0,ss,70.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.505452,1.11999e-06,1.28725e-06,87.006,-28.9034,0.00544324,627.33,18131.9,35872.7
10,0,ss,85,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.500409,1.09777e-06,1.35675e-06,80.9114,-28.675,0.00584652,577.566,16561.7,33096.3
11,0,ff,-40,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.545982,1.31662e-06,1.44931e-06,90.8445,-28.3884,0.00487952,707.528,20085.6,36787.9
12,0,ff,0.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.530697,1.24382e-06,1.3261e-06,93.7948,-28.7742,0.00561388,710.054,20431.3,38498.9
13,0,ff,27.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.520181,1.19295e-06,1.49583e-06,79.7516,-28.2512,0.00641612,591.78,16718.5,32139.7
14,0,ff,70.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.504055,1.11532e-06,1.49575e-06,74.5657,-28.2514,0.00811322,536.147,15146.9,30050.1
15,0,ff,85,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.498446,1.08888e-06,1.43963e-06,75.6362,-28.4175,0.00880997,537.792,15282.7,30660.7
16,0,sf,-40,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.52832,1.22474e-06,1.36785e-06,89.5375,-28.6396,0.00469449,674.789,19325.7,36579.6
17,0,sf,0.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.51672,1.1733e-06,1.36706e-06,85.8263,-28.6421,0.00533319,632.618,18119.5,35066.4
18,0,sf,27.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.507722,1.13133e-06,1.38456e-06,81.7108,-28.5869,0.00623574,591.796,16917.6,33320.6
19,0,sf,70.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.493322,1.06422e-06,1.40689e-06,75.6431,-28.5174,0.00784775,532.312,15180.1,30771.3
20,0,sf,85,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.488344,1.04118e-06,1.29291e-06,80.53,-28.8843,0.00837431,560.983,16203.6,33180.7
21,0,fs,-40,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.547973,1.31389e-06,1.3402e-06,98.0367,-28.7283,0.00634089,766.327,22015.3,40175.8
22,0,fs,0.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.537595,1.26859e-06,1.39122e-06,91.1858,-28.566,0.00511294,699.276,19975.6,37157.2
23,0,fs,27.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.529326,1.23163e-06,1.31077e-06,93.9625,-28.8247,0.0051081,709.486,20450.7,38635.5
24,0,fs,70.0,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.514634,1.16582e-06,1.41268e-06,82.5251,-28.4995,0.00578252,605.83,17265.9,33549.8
25,0,fs,85,2.23999e-06,6.48138e-07,1.65888e-05,9.38278e-07,2,2,223048,9.2e+08,0.5,6.34033e-10,0.509327,1.14207e-06,1.35915e-06,84.0288,-28.6673,0.00587724,610.508,17501.6,34362.3
