freq_Hz,S11_dB
8.5e+08,-0.03367542
8.509901e+08,-0.03460796
8.519802e+08,-0.03558081
8.529703e+08,-0.03659636
8.539604e+08,-0.03765715
8.549505e+08,-0.03876591
8.559406e+08,-0.0399256
8.569307e+08,-0.0411394
8.579208e+08,-0.04241074
8.589109e+08,-0.04374332
8.59901e+08,-0.04514118
8.608911e+08,-0.04660864
8.618812e+08,-0.04815044
8.628713e+08,-0.04977168
8.638614e+08,-0.05147796
8.648515e+08,-0.05327533
8.658416e+08,-0.05517042
8.668317e+08,-0.05717046
8.678218e+08,-0.05928337
8.688119e+08,-0.06151783
8.69802e+08,-0.06388336
8.707921e+08,-0.06639044
8.717822e+08,-0.06905062
8.727723e+08,-0.07187665
8.737624e+08,-0.07488262
8.747525e+08,-0.07808417
8.757426e+08,-0.08149865
8.767327e+08,-0.08514541
8.777228e+08,-0.089046
8.787129e+08,-0.09322456
8.79703e+08,-0.09770815
8.806931e+08,-0.1025272
8.816832e+08,-0.107716
8.826733e+08,-0.1133134
8.836634e+08,-0.1193633
8.846535e+08,-0.1259159
8.856436e+08,-0.1330283
8.866337e+08,-0.140766
8.876238e+08,-0.1492044
8.886139e+08,-0.1584304
8.89604e+08,-0.1685449
8.905941e+08,-0.1796652
8.915842e+08,-0.1919288
8.925743e+08,-0.2054971
8.935644e+08,-0.2205608
8.945545e+08,-0.2373467
8.955446e+08,-0.2561257
8.965347e+08,-0.2772237
8.975248e+08,-0.3010354
8.985149e+08,-0.3280418
8.99505e+08,-0.3588347
9.00495e+08,-0.3941469
9.014851e+08,-0.4348949
9.024752e+08,-0.4822358
9.034653e+08,-0.537645
9.044554e+08,-0.6030263
9.054455e+08,-0.6808649
9.064356e+08,-0.774449
9.074257e+08,-0.8881913
9.084158e+08,-1.028107
9.094059e+08,-1.202534
9.10396e+08,-1.423247
9.113861e+08,-1.707207
9.123762e+08,-2.079395
9.133663e+08,-2.577508
9.143564e+08,-3.26009
9.153465e+08,-4.221409
9.163366e+08,-5.621566
9.173267e+08,-7.759262
9.183168e+08,-11.31075
9.193069e+08,-18.73933
9.20297e+08,-26.03962
9.212871e+08,-13.49059
9.222772e+08,-8.926978
9.232673e+08,-6.339943
9.242574e+08,-4.690403
9.252475e+08,-3.577016
9.262376e+08,-2.796918
9.272277e+08,-2.234138
9.282178e+08,-1.817927
9.292079e+08,-1.503319
9.30198e+08,-1.260845
9.311881e+08,-1.070694
9.321782e+08,-0.9192368
9.331683e+08,-0.7969038
9.341584e+08,-0.6968463
9.351485e+08,-0.6140766
9.361386e+08,-0.5449035
9.371287e+08,-0.4865548
9.381188e+08,-0.4369198
9.391089e+08,-0.394371
9.40099e+08,-0.3576391
9.410891e+08,-0.3257236
9.420792e+08,-0.2978276
9.430693e+08,-0.273311
9.440594e+08,-0.2516548
9.450495e+08,-0.2324352
9.460396e+08,-0.2153034
9.470297e+08,-0.1999703
9.480198e+08,-0.1861948
9.490099e+08,-0.1737747
9.5e+08,-0.1625392
